kind	class	method	param	index	uri
METHOD	chess.move.MoveParser	parseMove(chess.Position,java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/MoveParser.java
PARAMETER	chess.Position	setPieceAt(chess.piece.Piece,chess.ChessCoord)	piece	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/Position.java
PARAMETER	chess.Position	processMove(chess.move.Move)	move	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/Position.java
PARAMETER	chess.move.impl.SimpleMoveTest	testSimpleMove(chess.Position,chess.ChessCoord,chess.ChessCoord,chess.move.impl.SimpleMove)	move	3	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/SimpleMoveTest.java
PARAMETER	chess.move.impl.SimpleMove	updateEnpassantFile(chess.Position,chess.PieceType)	pieceType	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/SimpleMove.java
FIELD	chess.move.impl.AbstractTakingMove	null	takenPiece	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/AbstractTakingMove.java
METHOD	chess.move.impl.AbstractTakingMove	getTakenPiece()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/AbstractTakingMove.java
FIELD	chess.move.impl.CastlingMove	null	rookSource	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/CastlingMove.java
FIELD	chess.move.impl.CastlingMove	null	rookDest	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/CastlingMove.java
METHOD	chess.move.impl.PGNParser	parseMove(chess.Position,java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/PGNParser.java
FIELD	chess.move.impl.PawnPromotionMove	null	movingPawn	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/move/impl/PawnPromotionMove.java
METHOD	chess.piece.impl.AbstractPiece	defaultCorrectMoveTypeForValidCoord(chess.ChessCoord)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/piece/impl/AbstractPiece.java
PARAMETER	chess.impl.DefaultPosition	setPieceAt(chess.piece.Piece,chess.ChessCoord)	piece	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/impl/DefaultPosition.java
PARAMETER	chess.impl.DefaultPosition	processMove(chess.move.Move)	move	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/impl/DefaultPosition.java
