kind	class	method	param	index	uri
FIELD	fr.inria.optimization.cmaes.CMAOptions	null	lowerStandardDeviations	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAOptions.java
FIELD	fr.inria.optimization.cmaes.CMAOptions	null	upperStandardDeviations	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAOptions.java
PARAMETER	fr.inria.optimization.cmaes.PrintfFormat$ConversionSpecification	printXFormat(java.lang.String)	sx	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/PrintfFormat.java
PARAMETER	fr.inria.optimization.cmaes.PrintfFormat$ConversionSpecification	printOFormat(java.lang.String)	sx	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/PrintfFormat.java
FIELD	fr.inria.optimization.cmaes.CMAEvolutionStrategy	null	typicalX	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
FIELD	fr.inria.optimization.cmaes.CMAEvolutionStrategy	null	LBound	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
FIELD	fr.inria.optimization.cmaes.CMAEvolutionStrategy	null	UBound	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
FIELD	fr.inria.optimization.cmaes.CMAEvolutionStrategy	null	startsigma	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
PARAMETER	fr.inria.optimization.cmaes.CMAEvolutionStrategy	expandToDimension(double[],int)	x	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
METHOD	fr.inria.optimization.cmaes.CMAEvolutionStrategy	expandToDimension(double[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
PARAMETER	fr.inria.optimization.cmaes.CMAEvolutionStrategy	genoPhenoTransformation(double[],double[])	y	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
METHOD	fr.inria.optimization.cmaes.CMAEvolutionStrategy	getBestX()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/CMAEvolutionStrategy.java
FIELD	fr.inria.optimization.cmaes.fitness.Basis	null	B	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/fr/inria/optimization/cmaes/fitness/FunctionCollector.java
FIELD	ubc.swim.gui.SwimWorldPanel	null	dbImage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url11fb0973cf_raichuman9_Swimmer526_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/src/ubc/swim/gui/SwimWorldPanel.java
