kind	class	method	param	index	uri
FIELD	sjm.grammar.RuleReference	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/RuleReference.java
METHOD	sjm.grammar.RuleReference	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/RuleReference.java
FIELD	sjm.parse.Parser	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
FIELD	sjm.parse.Parser	null	assembler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
PARAMETER	sjm.parse.Parser	Parser(java.lang.String)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
METHOD	sjm.parse.Parser	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
METHOD	sjm.parse.IParser	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/IParser.java
FIELD	sjm.grammar.Grammar	null	startRule	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
FIELD	sjm.grammar.Grammar	null	ruleGrammar	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
FIELD	sjm.grammar.Grammar	null	initTokenizer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
PARAMETER	sjm.grammar.Grammar	getRule(java.lang.String)	ruleName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
PARAMETER	sjm.grammar.Grammar	printRuleOn(java.lang.String,java.io.PrintWriter)	ruleName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
FIELD	sjm.parse.Assembly	null	target	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Assembly.java
METHOD	sjm.parse.Assembly	peek()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Assembly.java
PARAMETER	sjm.parse.Assembly	setTarget(sjm.parse.PubliclyCloneable)	target	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Assembly.java
FIELD	sjm.parse.Repetition	null	preAssembler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Repetition.java
PARAMETER	sjm.parse.Repetition	Repetition(sjm.parse.Parser,java.lang.String)	name	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Repetition.java
METHOD	sjm.parse.Terminal	matchOneAssembly(sjm.parse.Assembly)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Terminal.java
METHOD	sjm.grammar.IParsingResult	getTarget()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/IParsingResult.java
FIELD	sjm.parse.tokens.Tokenizer	null	reader	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Tokenizer.java
METHOD	sjm.parse.tokens.Tokenizer	getReader()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Tokenizer.java
METHOD	sjm.parse.tokens.Tokenizer	getCharacterState(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Tokenizer.java
METHOD	sjm.grammar.ParsingResult	getTarget()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/ParsingResult.java
FIELD	sjm.parse.AbstractParsingTest	null	assembly	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/AbstractParsingTest.java
METHOD	sjm.parse.tokens.TokenAssembly	peek()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/TokenAssembly.java
METHOD	sjm.parse.ParserTester	freshTarget()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/ParserTester.java
