kind	class	method	param	index	uri
METHOD	kademlia.dht.KadContent	getOwnerId()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/KadContent.java
PARAMETER	kademlia.KadServer	sendMessage(kademlia.node.Node,kademlia.message.Message,kademlia.message.Receiver)	recv	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/KadServer.java
FIELD	kademlia.dht.GetParameter	null	ownerId	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/GetParameter.java
FIELD	kademlia.dht.GetParameter	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/GetParameter.java
PARAMETER	kademlia.dht.GetParameter	GetParameter(kademlia.node.KademliaId,java.lang.String,java.lang.String)	owner	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/GetParameter.java
PARAMETER	kademlia.dht.GetParameter	setOwnerId(java.lang.String)	ownerId	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/GetParameter.java
METHOD	kademlia.dht.GetParameter	getOwnerId()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/GetParameter.java
METHOD	kademlia.dht.GetParameter	getType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/GetParameter.java
METHOD	kademlia.dht.KademliaStorageEntryMetadata	getOwnerId()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/KademliaStorageEntryMetadata.java
FIELD	kademlia.dht.StorageEntryMetadata	null	ownerId	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/StorageEntryMetadata.java
METHOD	kademlia.dht.StorageEntryMetadata	getOwnerId()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/StorageEntryMetadata.java
FIELD	kademlia.simulations.DHTContentImpl	null	key	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/simulations/DHTContentImpl.java
FIELD	kademlia.simulations.DHTContentImpl	null	data	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/simulations/DHTContentImpl.java
