kind	class	method	param	index	uri
PARAMETER	com.teamdev.students.fsm.FiniteStateMachine	moveForward(Context,State)	currentState	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/fsm/FiniteStateMachine.java
METHOD	com.teamdev.students.fsm.FiniteStateMachine	moveForward(Context,State)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/fsm/FiniteStateMachine.java
PARAMETER	com.teamdev.students.fsm.FiniteStateMachine	deadlock(Context,State)	currentState	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/fsm/FiniteStateMachine.java
PARAMETER	com.teamdev.students.fsm.TransitionMatrix	getPossibleStates(State)	state	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/fsm/TransitionMatrix.java
METHOD	com.teamdev.students.fsm.TransitionMatrix	getPossibleStates(State)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/fsm/TransitionMatrix.java
METHOD	com.teamdev.students.calculator.impl.MathExpressionParser	parse(com.teamdev.students.calculator.impl.EvaluationContext)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/calculator/impl/MathExpressionParser.java
FIELD	com.teamdev.students.calculator.impl.EvaluationContext	null	previousState	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/calculator/impl/EvaluationContext.java
METHOD	com.teamdev.students.calculator.impl.EvaluationContext	getPreviousState()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/calculator/impl/EvaluationContext.java
PARAMETER	com.teamdev.students.calculator.impl.EvaluationStack	pushFunction(com.teamdev.students.calculator.impl.Function)	function	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/calculator/impl/EvaluationStack.java
PARAMETER	com.teamdev.students.calculator.impl.EvaluationMatrix	getPossibleStates(com.teamdev.students.calculator.impl.State)	state	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/calculator/impl/EvaluationMatrix.java
METHOD	com.teamdev.students.calculator.impl.EvaluationMatrix	getPossibleStates(com.teamdev.students.calculator.impl.State)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8/src/com/teamdev/students/calculator/impl/EvaluationMatrix.java
