kind	class	method	param	index	uri
FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	position	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
METHOD	es.dagaren.gladiator.notation.ExtendedPositionDescription	getPosition()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
METHOD	es.dagaren.gladiator.notation.ExtendedPositionDescription	load(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
METHOD	es.dagaren.gladiator.representation.Position	getEnPassantSquare()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Position.java
METHOD	es.dagaren.gladiator.representation.Position	getGenericPieceInSquare(es.dagaren.gladiator.representation.Square)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Position.java
METHOD	es.dagaren.gladiator.representation.Position	getPieceColour(es.dagaren.gladiator.representation.Square)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Position.java
FIELD	es.dagaren.gladiator.representation.Colour	null	colours	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
METHOD	es.dagaren.gladiator.representation.Colour	valueOf(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
METHOD	es.dagaren.gladiator.representation.Square	getNext()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
METHOD	es.dagaren.gladiator.representation.Square	getPrevious()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
