kind	class	method	param	index	uri
FIELD	net.katsuster.ememu.ui.ProxyOption	null	proxyHost	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOption.java
PARAMETER	net.katsuster.ememu.arm.core.ARMv5	nextPC(net.katsuster.ememu.generic.Instruction)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ARMv5.java
METHOD	net.katsuster.ememu.arm.core.ARMv5	fetch()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ARMv5.java
METHOD	net.katsuster.ememu.generic.Bus	getSlaveCore(long,long)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Bus.java
METHOD	net.katsuster.ememu.generic.Bus	findSlaveCoreAddress(long,long)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Bus.java
FIELD	net.katsuster.ememu.generic.Bus$SlaveCoreAddress	null	slave	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Bus.java
PARAMETER	net.katsuster.ememu.generic.Bus$SlaveCoreAddress	SlaveCoreAddress(net.katsuster.ememu.generic.SlaveCore,long,long)	slave	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Bus.java
FIELD	net.katsuster.ememu.generic.SlaveCore	null	masterBus	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/SlaveCore.java
METHOD	net.katsuster.ememu.generic.SlaveCore	getMasterBus()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/SlaveCore.java
PARAMETER	net.katsuster.ememu.generic.SlaveCore	setMasterBus(net.katsuster.ememu.generic.Bus)	bus	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/SlaveCore.java
FIELD	net.katsuster.ememu.arm.core.PSR	null	regfile	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/PSR.java
PARAMETER	net.katsuster.ememu.arm.core.PSR	PSR(java.lang.String,int,net.katsuster.ememu.arm.core.ARMRegFile)	rf	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/PSR.java
FIELD	net.katsuster.ememu.ui.MainWindow	null	emu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/MainWindow.java
PARAMETER	net.katsuster.ememu.ui.StdoutPanel	StdoutPanel(java.awt.event.ActionListener)	listener	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/StdoutPanel.java
FIELD	net.katsuster.ememu.ui.MainApplet	null	listenButton	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/MainApplet.java
FIELD	net.katsuster.ememu.ui.MainApplet	null	emu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/MainApplet.java
