kind	class	method	param	index	uri
PARAMETER	hipotetizador.Elemento	equals(java.lang.Object)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/Elemento.java
FIELD	hipotetizador.EvaluacionTeoria	null	fallos_entradas	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/EvaluacionTeoria.java
FIELD	hipotetizador.EvaluacionTeoria	null	aciertos_muestras	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/EvaluacionTeoria.java
FIELD	hipotetizador.EvaluacionTeoria	null	fallos_muestras	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/EvaluacionTeoria.java
FIELD	hipotetizador.EvaluacionTeoria	null	explicabilidad	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/EvaluacionTeoria.java
FIELD	hipotetizador.InfoElemento	null	elemento	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/InfoElemento.java
FIELD	hipotetizador.InfoElemento	null	total	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/InfoElemento.java
FIELD	hipotetizador.InfoElemento	null	apariciones	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/InfoElemento.java
METHOD	hipotetizador.InfoElemento	getElemento()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/InfoElemento.java
METHOD	hipotetizador.InfoElemento	getTotal()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/InfoElemento.java
FIELD	hipotetizador.GrupoElementos	null	_subgrupos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/GrupoElementos.java
METHOD	hipotetizador.GrupoElementos	getLastSubgrupos()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/GrupoElementos.java
FIELD	hipotetizador.Nodo	null	elemento	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/Nodo.java
FIELD	hipotetizador.Nodo	null	padre	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/Nodo.java
FIELD	hipotetizador.Nodo	null	siguiente	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/Nodo.java
METHOD	hipotetizador.Nodo	getElemento()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/Nodo.java
METHOD	hipotetizador.Nodo	getSiguiente()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/Nodo.java
FIELD	hipotetizador.RegistroTD	null	elemento	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/RegistroTD.java
