kind	class	method	param	index	uri
FIELD	tivoo.Event	null	title	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/Event.java
FIELD	tivoo.Event	null	description	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/Event.java
FIELD	tivoo.Event	null	startTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/Event.java
FIELD	tivoo.Event	null	endTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/Event.java
FIELD	tivoo.Event	null	location	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/Event.java
METHOD	tivoo.Event	getDescription()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/Event.java
METHOD	tivoo.Event	getLocation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/Event.java
FIELD	tivoo.input.parserHandler.TVParserHandler	null	currentCalendar	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/input/parserHandler/TVParserHandler.java
PARAMETER	tivoo.output.HorizontalViewHTMLBuilder	buildHorizontalDayCalendar(java.lang.String,java.util.List)	eventsOnThisDay	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/output/HorizontalViewHTMLBuilder.java
PARAMETER	tivoo.output.HorizontalViewHTMLBuilder	constructHorizontalDayDiv(java.util.List)	eventsOnThisDay	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/output/HorizontalViewHTMLBuilder.java
PARAMETER	tivoo.output.HTMLBuilder	createParagraphTag(com.hp.gagawa.java.elements.Div,java.lang.String,java.lang.String)	contents	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/output/HTMLBuilder.java
PARAMETER	tivoo.output.VerticalViewHTMLBuilder	constructVerticalDayDiv(java.lang.String,java.util.List)	eventsOnThisDay	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8/src/tivoo/output/VerticalViewHTMLBuilder.java
