kind	class	method	param	index	uri
METHOD	org.fressian.Examples$2	valAt(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/Examples.java
PARAMETER	org.fressian.impl.Fns	lookup(org.fressian.handlers.ILookup,K)	theLookup	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/Fns.java
PARAMETER	org.fressian.impl.Fns	lookup(org.fressian.handlers.ILookup,K)	k	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/Fns.java
METHOD	org.fressian.impl.Fns	lookup(org.fressian.handlers.ILookup,K)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/Fns.java
METHOD	org.fressian.impl.Fns	getClassOrNull(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/Fns.java
FIELD	org.fressian.FressianReader	null	handlerLookup	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianReader.java
FIELD	org.fressian.FressianReader	null	byteBuffer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianReader.java
PARAMETER	org.fressian.FressianReader	FressianReader(java.io.InputStream,org.fressian.handlers.ILookup,boolean)	handlerLookup	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianReader.java
FIELD	org.fressian.impl.RawInput	null	cis	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/RawInput.java
METHOD	org.fressian.handlers.ILookup	valAt(K)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/handlers/ILookup.java
METHOD	org.fressian.Tagged	getMeta()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/Tagged.java
METHOD	org.fressian.impl.CachingLookup	getNullVal()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/CachingLookup.java
METHOD	org.fressian.impl.CachingLookup	valAt(K)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/CachingLookup.java
METHOD	org.fressian.impl.ChainedLookup	valAt(K)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/ChainedLookup.java
PARAMETER	org.fressian.impl.Handlers	installHandler(java.util.Map,java.lang.Class,java.lang.String,org.fressian.handlers.WriteHandler)	cls	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/Handlers.java
METHOD	org.fressian.impl.InheritanceLookup	checkBaseClasses(java.lang.Class)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/InheritanceLookup.java
METHOD	org.fressian.impl.InheritanceLookup	checkBaseInterfaces(java.lang.Class)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/InheritanceLookup.java
METHOD	org.fressian.impl.InheritanceLookup	valAt(java.lang.Class)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/InheritanceLookup.java
METHOD	org.fressian.impl.MapLookup	valAt(K)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/impl/MapLookup.java
METHOD	org.fressian.handlers.IWriteHandlerLookup	getWriteHandler(java.lang.String,java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/handlers/IWriteHandlerLookup.java
PARAMETER	org.fressian.handlers.IWriteHandlerLookup	requireWriteHandler(java.lang.String,java.lang.Object)	tag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/handlers/IWriteHandlerLookup.java
PARAMETER	org.fressian.handlers.WriteHandlerLookup	getWriteHandler(java.lang.String,java.lang.Object)	tag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/handlers/WriteHandlerLookup.java
METHOD	org.fressian.handlers.WriteHandlerLookup	getWriteHandler(java.lang.String,java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/handlers/WriteHandlerLookup.java
PARAMETER	org.fressian.handlers.WriteHandlerLookup	requireWriteHandler(java.lang.String,java.lang.Object)	tag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/handlers/WriteHandlerLookup.java
FIELD	org.fressian.FressianWriter	null	stringBuffer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianWriter.java
PARAMETER	org.fressian.FressianWriter	doWrite(java.lang.String,java.lang.Object,org.fressian.handlers.WriteHandler,boolean)	tag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianWriter.java
PARAMETER	org.fressian.FressianWriter	writeAs(java.lang.String,java.lang.Object,boolean)	tag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianWriter.java
PARAMETER	org.fressian.FressianWriter	writeAs(java.lang.String,java.lang.Object)	tag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianWriter.java
FIELD	org.fressian.TaggedObject	null	meta	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/TaggedObject.java
