kind	class	method	param	index	uri
FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
METHOD	backend.Memory	display(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
FIELD	backend.step_out	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
FIELD	backend.step_out	null	curr_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
FIELD	backend.step_out	null	ob	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
FIELD	backend.ScanFile	null	ob_bkpt	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
FIELD	backend.ScanFile	null	current_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
FIELD	backend.instructions.NOT	null	no	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/NOT.java
FIELD	backend.instructions.NOT	null	no2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/NOT.java
FIELD	backend.instructions.SUB	null	binaryconvert	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/SUB.java
FIELD	backend.instructions.OR	null	no	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/OR.java
FIELD	backend.instructions.OR	null	no2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/OR.java
FIELD	backend.instructions.CMP	null	binaryconvert	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/CMP.java
FIELD	backend.instructions.AND	null	no	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/AND.java
FIELD	backend.instructions.AND	null	no2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/instructions/AND.java
