kind	class	method	param	index	uri
FIELD	com.github.quickhull3d.VertexList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/VertexList.java
FIELD	com.github.quickhull3d.VertexList	null	tail	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/VertexList.java
METHOD	com.github.quickhull3d.VertexList	first()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/VertexList.java
FIELD	com.github.quickhull3d.Vertex	null	prev	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/Vertex.java
FIELD	com.github.quickhull3d.Vertex	null	next	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/Vertex.java
FIELD	com.github.quickhull3d.Face	null	next	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/Face.java
FIELD	com.github.quickhull3d.Face	null	outside	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/Face.java
METHOD	com.github.quickhull3d.Face	findEdge(com.github.quickhull3d.Vertex,com.github.quickhull3d.Vertex)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/Face.java
METHOD	com.github.quickhull3d.Face	connectHalfEdges(com.github.quickhull3d.HalfEdge,com.github.quickhull3d.HalfEdge)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/Face.java
PARAMETER	com.github.quickhull3d.HalfEdge	setPrev(com.github.quickhull3d.HalfEdge)	edge	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/HalfEdge.java
FIELD	com.github.quickhull3d.FaceList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/FaceList.java
FIELD	com.github.quickhull3d.FaceList	null	tail	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/FaceList.java
METHOD	com.github.quickhull3d.FaceList	first()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/FaceList.java
METHOD	com.github.quickhull3d.QuickHull3D	removeAllPointsFromFace(com.github.quickhull3d.Face)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/QuickHull3D.java
METHOD	com.github.quickhull3d.QuickHull3D	findHalfEdge(com.github.quickhull3d.Vertex,com.github.quickhull3d.Vertex)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/QuickHull3D.java
PARAMETER	com.github.quickhull3d.QuickHull3D	deleteFacePoints(com.github.quickhull3d.Face,com.github.quickhull3d.Face)	absorbingFace	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/QuickHull3D.java
PARAMETER	com.github.quickhull3d.QuickHull3D	calculateHorizon(com.github.quickhull3d.Point3d,com.github.quickhull3d.HalfEdge,com.github.quickhull3d.Face,java.util.Vector)	edge0	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/QuickHull3D.java
METHOD	com.github.quickhull3d.QuickHull3D	nextPointToAdd()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url72c32f3c54_Quickhull3d_quickhull3d_tgz-pJ8-com_github_quickhull3d_SimpleExampleJ8/src/com/github/quickhull3d/QuickHull3D.java
