kind	class	method	param	index	uri
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	byteArrayToInt(byte[])	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
METHOD	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getWeaponType(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getItemId(int,be.demmel.fun.jgwcaconstants.bll.BagLocation)	bag	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getItemInfo(int,be.demmel.fun.jgwcaconstants.bll.BagLocation)	bag	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	findGoldItem(be.demmel.fun.jgwcaconstants.bll.BagLocation)	bag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getItemExtraId(be.demmel.fun.jgwcaconstants.bll.BagLocation,int)	bag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getItemReq(be.demmel.fun.jgwcaconstants.bll.BagLocation,int)	bag	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getDyePositionByColor(be.demmel.fun.jgwcaconstants.bll.Dye,be.demmel.fun.jgwcaconstants.bll.BagLocation)	startBag	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getItemDmgMod(int,be.demmel.fun.jgwcaconstants.bll.BagLocation)	startBag	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
METHOD	be.demmel.fun.jgwcaconstants.bll.GWCAOperations	getSkillType(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperations.java
METHOD	be.demmel.fun.jgwcaconstants.bll.clean.Agent	getWeaponType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/clean/Agent.java
METHOD	be.demmel.fun.jgwcaconstants.bll.clean.RemainingCommands	getSkillType(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/clean/RemainingCommands.java
METHOD	be.demmel.fun.jgwcaconstants.bll.SkillType	toEnum(short)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/SkillType.java
METHOD	be.demmel.fun.jgwcaconstants.bll.WeaponType	toEnum(short)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/WeaponType.java
METHOD	be.demmel.fun.jgwcaconstants.bll.GWCAOperation	toEnum(short)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAOperation.java
FIELD	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	null	lparam	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
FIELD	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	null	wparam	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	GWCAPacket(be.demmel.fun.jgwcaconstants.bll.GWCAOperation,byte[],byte[])	wparam	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	GWCAPacket(be.demmel.fun.jgwcaconstants.bll.GWCAOperation,byte[],byte[])	lparam	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
METHOD	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	getLparam()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
METHOD	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	getWparam()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	byteArrayToInt(byte[])	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
PARAMETER	be.demmel.fun.jgwcaconstants.bll.GWCAPacket	byteArrayToFloat(byte[])	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/bll/GWCAPacket.java
FIELD	be.demmel.fun.jgwcaconstants.JCommander	null	wTextField	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/JCommander.java
FIELD	be.demmel.fun.jgwcaconstants.JCommander	null	lTextField	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/JCommander.java
PARAMETER	be.demmel.fun.jgwcaconstants.JCommander	byteArrayToInt(byte[])	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url74c52881d6_AndrewBourgeois_JGWCAConstants_tgz-pJ8-be_demmel_fun_jgwcaconstants_Tutorial4J8/src/be/demmel/fun/jgwcaconstants/JCommander.java
