kind	class	method	param	index	uri
METHOD	org.ands.rifcs.base.Collection	newRight()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Collection.java
PARAMETER	org.ands.rifcs.base.RIFCSElement	getElements(java.lang.String)	localName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RIFCSElement.java
METHOD	org.ands.rifcs.base.RelatedObject	getKey()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RelatedObject.java
FIELD	org.ands.rifcs.base.Right	null	rightsStatement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
FIELD	org.ands.rifcs.base.Right	null	licence	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
FIELD	org.ands.rifcs.base.Right	null	accessRights	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
PARAMETER	org.ands.rifcs.base.Right	setRightsStatement(java.lang.String,java.lang.String)	rightsUri	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
METHOD	org.ands.rifcs.base.Right	getRightsStatement()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
PARAMETER	org.ands.rifcs.base.Right	setLicence(java.lang.String,java.lang.String)	type	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
PARAMETER	org.ands.rifcs.base.Right	setLicence(java.lang.String,java.lang.String,java.lang.String)	rightsUri	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
PARAMETER	org.ands.rifcs.base.Right	setLicence(java.lang.String,java.lang.String,java.lang.String)	type	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
METHOD	org.ands.rifcs.base.Right	getLicence()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
PARAMETER	org.ands.rifcs.base.Right	setAccessRights(java.lang.String,java.lang.String)	type	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
PARAMETER	org.ands.rifcs.base.Right	setAccessRights(java.lang.String,java.lang.String,java.lang.String)	rightsUri	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
PARAMETER	org.ands.rifcs.base.Right	setAccessRights(java.lang.String,java.lang.String,java.lang.String)	type	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
METHOD	org.ands.rifcs.base.Right	getAccessRights()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Right.java
FIELD	org.ands.rifcs.base.RelatedInfo	null	identifier	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RelatedInfo.java
METHOD	org.ands.rifcs.base.RelatedInfo	getIdentifier()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RelatedInfo.java
METHOD	org.ands.rifcs.base.RelatedInfo	getTitle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RelatedInfo.java
METHOD	org.ands.rifcs.base.RelatedInfo	getNotes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RelatedInfo.java
FIELD	org.ands.rifcs.base.CitationInfo	null	cm	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationInfo.java
METHOD	org.ands.rifcs.base.CitationInfo	getCitation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationInfo.java
METHOD	org.ands.rifcs.base.CitationInfo	getCitationStyle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationInfo.java
METHOD	org.ands.rifcs.base.CitationInfo	getCitationMetadata()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationInfo.java
METHOD	org.ands.rifcs.base.RIFCSException	getMessage()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RIFCSException.java
FIELD	org.ands.rifcs.base.CitationMetadata	null	identifier	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.CitationMetadata	getIdentifier()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.CitationMetadata	getTitle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.CitationMetadata	getURL()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.CitationMetadata	getEdition()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.CitationMetadata	getPublisher()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.CitationMetadata	getPlacePublished()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.CitationMetadata	getContext()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/CitationMetadata.java
METHOD	org.ands.rifcs.base.Relation	getDescription()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Relation.java
METHOD	org.ands.rifcs.base.Relation	getDescriptionLanguage()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Relation.java
METHOD	org.ands.rifcs.base.Relation	getURL()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Relation.java
METHOD	org.ands.rifcs.base.Electronic	getValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/Electronic.java
FIELD	org.ands.rifcs.ch.RIFCSReader	null	doc	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RIFCSReader.java
METHOD	org.ands.rifcs.ch.RIFCSReader	getDocument()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/RIFCSReader.java
FIELD	org.ands.rifcs.ch.DefaultRIFCSHandler	null	locator	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url78f6619d18_IntersectAustralia_rifcs_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionJ8/src/DefaultRIFCSHandler.java
