kind	class	method	param	index	uri
FIELD	DeviceGraphicsDisplay.FeederGraphicsDisplay	null	bgd	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/DeviceGraphicsDisplay/FeederGraphicsDisplay.java
FIELD	DeviceGraphicsDisplay.DeviceGraphicsDisplay	null	client	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/DeviceGraphicsDisplay/DeviceGraphicsDisplay.java
PARAMETER	DeviceGraphicsDisplay.DeviceGraphicsDisplay	print(java.lang.String,java.lang.Throwable)	e	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/DeviceGraphicsDisplay/DeviceGraphicsDisplay.java
PARAMETER	Utils.Location	Location(Utils.Location)	loc	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/Utils/Location.java
FIELD	Networking.Client	null	socket	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/Networking/Client.java
FIELD	Networking.Client	null	reader	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/Networking/Client.java
FIELD	Networking.Client	null	font	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/Networking/Client.java
FIELD	Networking.Client	null	pokeFont	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/Networking/Client.java
FIELD	Networking.Client	null	clientName	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/Networking/Client.java
FIELD	factory.PartType	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
FIELD	factory.PartType	null	id	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
FIELD	factory.PartType	null	imagePath	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
PARAMETER	factory.PartType	PartType(java.lang.String)	s	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
METHOD	factory.PartType	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
METHOD	factory.PartType	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
METHOD	factory.PartType	getID()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
PARAMETER	factory.PartType	equals(factory.PartType)	pt	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
METHOD	factory.PartType	getImagePath()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8/src/factory/PartType.java
