kind	class	method	param	index	uri
METHOD	org.dclayer.datastructure.tree.TreeNode	get(org.dclayer.net.Data)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/TreeNode.java
METHOD	org.dclayer.datastructure.tree.TreeNode	getClosest(org.dclayer.net.Data)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/TreeNode.java
METHOD	org.dclayer.datastructure.tree.TreeNode	getClosest(org.dclayer.net.Data,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/TreeNode.java
METHOD	org.dclayer.datastructure.tree.TreeNode	remove(org.dclayer.net.Data)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/TreeNode.java
PARAMETER	org.dclayer.datastructure.tree.TreeNode	put(org.dclayer.net.Data,T)	value	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/TreeNode.java
METHOD	org.dclayer.datastructure.tree.TreeNode	getFinalValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/TreeNode.java
METHOD	org.dclayer.datastructure.tree.TreeNode	getChildren()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/TreeNode.java
METHOD	org.dclayer.net.Data	getChildren()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/Data.java
METHOD	org.dclayer.net.PacketComponentI	getChildren()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/PacketComponentI.java
METHOD	org.dclayer.net.PacketComponentI	represent()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/PacketComponentI.java
METHOD	org.dclayer.net.PacketComponentI	represent(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/PacketComponentI.java
METHOD	org.dclayer.net.PacketComponentI	represent(boolean,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/PacketComponentI.java
FIELD	org.dclayer.datastructure.tree.FinalTreeNode	null	value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/FinalTreeNode.java
METHOD	org.dclayer.datastructure.tree.FinalTreeNode	get(org.dclayer.net.Data)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/FinalTreeNode.java
METHOD	org.dclayer.datastructure.tree.FinalTreeNode	getClosest(org.dclayer.net.Data,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/FinalTreeNode.java
PARAMETER	org.dclayer.datastructure.tree.FinalTreeNode	put(org.dclayer.net.Data,T)	value	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/FinalTreeNode.java
METHOD	org.dclayer.datastructure.tree.FinalTreeNode	getFinalValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/FinalTreeNode.java
METHOD	org.dclayer.datastructure.tree.FinalTreeNode	remove(org.dclayer.net.Data)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/FinalTreeNode.java
METHOD	org.dclayer.datastructure.tree.FinalTreeNode	getChildren()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/FinalTreeNode.java
METHOD	org.dclayer.datastructure.tree.ParentTreeNode	getClosest(org.dclayer.net.Data,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/ParentTreeNode.java
METHOD	org.dclayer.datastructure.tree.ParentTreeNode	remove(org.dclayer.net.Data)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/ParentTreeNode.java
PARAMETER	org.dclayer.datastructure.tree.ParentTreeNode	put(org.dclayer.net.Data,T)	value	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/ParentTreeNode.java
METHOD	org.dclayer.datastructure.tree.ParentTreeNode	getFinalKey()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/ParentTreeNode.java
METHOD	org.dclayer.datastructure.tree.ParentTreeNode	getFinalValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/tree/ParentTreeNode.java
METHOD	org.dclayer.datastructure.map.slotmap.Slot	getSearchObject()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/map/slotmap/Slot.java
PARAMETER	org.dclayer.datastructure.map.slotmap.SlotMap	find(java.lang.Object)	searchObject	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/map/slotmap/SlotMap.java
METHOD	org.dclayer.datastructure.map.slotmap.SlotMap	find(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/map/slotmap/SlotMap.java
METHOD	org.dclayer.datastructure.map.slotmap.SlotMap	remove(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/map/slotmap/SlotMap.java
FIELD	org.dclayer.datastructure.map.slotmap.SlotMap$1	null	next	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/map/slotmap/SlotMap.java
METHOD	org.dclayer.datastructure.map.slotmap.SlotMap$1	next()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/datastructure/map/slotmap/SlotMap.java
