kind	class	method	param	index	uri
FIELD	v.VFrame	null	_parent	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VFrame.java
METHOD	v.VFrame	lookup(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VFrame.java
METHOD	v.VFrame	getDefinedScope(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VFrame.java
FIELD	v.Node	null	data	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
FIELD	v.Node	null	link	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
PARAMETER	v.Node	Node(E)	e	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
FIELD	v.VStack	null	now	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
FIELD	v.VStack	null	first	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
METHOD	v.VStack	now()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
PARAMETER	v.VStack	push(v.Term)	t	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
METHOD	v.VStack	push(v.Term)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VStack.java
PARAMETER	v.V	outln(java.lang.String)	var	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/V.java
METHOD	v.Vx	message()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/Vx.java
METHOD	v.Vx	stack()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/Vx.java
METHOD	v.Cmd	tokens()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/Cmd.java
FIELD	v.ConsoleCharStream	null	_reader	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/ConsoleCharStream.java
FIELD	v.ConsoleCharStream	null	_i	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/ConsoleCharStream.java
FIELD	v.ConsoleCharStream	null	_lexer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/ConsoleCharStream.java
PARAMETER	v.Lexer	Lexer(v.CharStream)	q	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/Lexer.java
METHOD	v.Lexer	next()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/Lexer.java
FIELD	v.VSynException	null	_err	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VSynException.java
METHOD	v.VSynException	message()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VSynException.java
FIELD	v.BuffCharStream	null	_reader	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/BuffCharStream.java
FIELD	v.BuffCharStream	null	_lexer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/BuffCharStream.java
METHOD	v.BuffCharStream	reader()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/BuffCharStream.java
FIELD	v.LexStream	null	_stream	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/LexStream.java
FIELD	v.Shield	null	stack	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/Prologue.java
METHOD	v.Util	getresource(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/Util.java
FIELD	v.VException	null	_token	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VException.java
FIELD	v.VException	null	_quote	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VException.java
FIELD	v.VException	null	_err	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VException.java
METHOD	v.VException	token()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VException.java
METHOD	v.VException	stack()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/VException.java
PARAMETER	v.LexIterator	LexIterator(v.QuoteStream,v.CharStream)	cs	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/LexIterator.java
FIELD	v.LexIterator	null	_current	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/LexIterator.java
METHOD	v.LexIterator	lex_next()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url82787aa7a4_vrthra_v_language_tgz-pJ8-v_VJ8/src/v/LexIterator.java
