kind	class	method	param	index	uri
METHOD	rummikub.Hand	getInitialMeld()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Hand.java
METHOD	rummikub.Hand	findLargestSubset(java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Hand.java
METHOD	rummikub.Hand	findLargestSubset(java.util.ArrayList,java.util.ArrayList)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Hand.java
FIELD	rummikub.Client	null	mySocket	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
FIELD	rummikub.HintClient	null	game	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/HintClient.java
FIELD	rummikub.HintClient	null	hand	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/HintClient.java
METHOD	rummikub.GameInfo	getBruteForceMove(rummikub.Hand,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/GameInfo.java
METHOD	rummikub.GameInfo	getAdjacentPlay(rummikub.Hand,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/GameInfo.java
PARAMETER	rummikub.RAIclient	playMelds(java.util.ArrayList)	melds	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/RAIclient.java
FIELD	rummikub.Server	null	serverSocket	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Server.java
FIELD	rummikub.Server	null	initialMelds	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Server.java
