kind	class	method	param	index	uri
METHOD	main.ParserSpec$5	a()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/main/ParserSpec.java
METHOD	main.ParserSpec$42	a()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/main/ParserSpec.java
FIELD	main.FileItaco	null	baseNomeFile	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/main/FileItaco.java
FIELD	main.FileItaco	null	directory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/main/FileItaco.java
PARAMETER	compilatore.ScrittoreTarget	definisciFunzione(java.lang.String,java.lang.String[],java.lang.String,compilatore.Blocco)	uscita	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/compilatore/ScrittoreTarget.java
PARAMETER	compilatore.CTarget	definisciFunzione(java.lang.String,java.lang.String[],java.lang.String,compilatore.Blocco)	uscita	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/compilatore/CTarget.java
PARAMETER	compilatore.JasminTarget	costante(int)	costante	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/compilatore/JasminTarget.java
PARAMETER	compilatore.JasminTarget	definisciFunzione(java.lang.String,java.lang.String[],java.lang.String,compilatore.Blocco)	uscita	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/compilatore/JasminTarget.java
PARAMETER	compilatore.JasminException	JasminException(java.lang.String)	s	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/compilatore/JasminException.java
PARAMETER	compilatore.RubyTarget	definisciFunzione(java.lang.String,java.lang.String[],java.lang.String,compilatore.Blocco)	uscita	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/compilatore/RubyTarget.java
FIELD	istruzioni.funzioni.DefinizioneFunzione	null	idValoreRitorno	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url8c14fd53ee_luca89_itaco_tgz-pJ8-main_RunnerJ8/src/istruzioni/funzioni/DefinizioneFunzione.java
