kind	class	method	param	index	uri
PARAMETER	com.fuzzylite.rule.Rule	activationDegree(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm)	conjunction	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Rule.java
PARAMETER	com.fuzzylite.rule.Rule	activationDegree(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm)	disjunction	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Rule.java
PARAMETER	com.fuzzylite.rule.Rule	activate(double,com.fuzzylite.norm.TNorm)	activation	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Rule.java
PARAMETER	com.fuzzylite.rule.Antecedent	activationDegree(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm)	conjunction	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Antecedent.java
PARAMETER	com.fuzzylite.rule.Antecedent	activationDegree(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm)	disjunction	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Antecedent.java
PARAMETER	com.fuzzylite.rule.Antecedent	activationDegree(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.rule.Expression)	conjunction	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Antecedent.java
PARAMETER	com.fuzzylite.rule.Antecedent	activationDegree(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.rule.Expression)	disjunction	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Antecedent.java
PARAMETER	com.fuzzylite.rule.Consequent	modify(double,com.fuzzylite.norm.TNorm)	activation	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Consequent.java
PARAMETER	com.fuzzylite.Engine	configure(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.defuzzifier.Defuzzifier)	conjunction	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
PARAMETER	com.fuzzylite.Engine	configure(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.defuzzifier.Defuzzifier)	disjunction	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
PARAMETER	com.fuzzylite.Engine	configure(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.defuzzifier.Defuzzifier)	activation	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
PARAMETER	com.fuzzylite.Engine	configure(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.defuzzifier.Defuzzifier)	accumulation	3	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
PARAMETER	com.fuzzylite.Engine	configure(com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.norm.TNorm,com.fuzzylite.norm.SNorm,com.fuzzylite.defuzzifier.Defuzzifier)	defuzzifier	4	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
METHOD	com.fuzzylite.Engine	removeInputVariable(com.fuzzylite.variable.InputVariable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
METHOD	com.fuzzylite.Engine	removeOutputVariable(com.fuzzylite.variable.OutputVariable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
METHOD	com.fuzzylite.Engine	removeRuleBlock(com.fuzzylite.rule.RuleBlock)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
PARAMETER	com.fuzzylite.Engine	addHedge(com.fuzzylite.hedge.Hedge)	hedge	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
METHOD	com.fuzzylite.Engine	removeHedge(com.fuzzylite.hedge.Hedge)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/Engine.java
METHOD	com.fuzzylite.variable.Variable	getTerm(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/variable/Variable.java
METHOD	com.fuzzylite.variable.Variable	removeTerm(com.fuzzylite.term.Term)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/variable/Variable.java
METHOD	com.fuzzylite.variable.Variable	removeTerm(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/variable/Variable.java
PARAMETER	com.fuzzylite.variable.OutputVariable	setDefuzzifier(com.fuzzylite.defuzzifier.Defuzzifier)	defuzzifier	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/variable/OutputVariable.java
