kind	class	method	param	index	uri
FIELD	peg.Benchmarcks	null	bibleText	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/Benchmarcks.java
PARAMETER	peg.Benchmarcks	searchP(java.lang.String,java.lang.String)	texto	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/Benchmarcks.java
PARAMETER	peg.Benchmarcks	searchG(java.lang.String,java.lang.String)	texto	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/Benchmarcks.java
PARAMETER	peg.Benchmarcks	searchW(java.lang.String,java.lang.String)	texto	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/Benchmarcks.java
PARAMETER	peg.Maquina	Maquina(java.lang.String,java.util.ArrayList)	entrada	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/Maquina.java
FIELD	Instrucoes.Instrucao	null	instrucaoDesvio	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	getInstrucaoDesvio()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
PARAMETER	Instrucoes.Instrucao	setInstrucaoDesvio(Instrucoes.Instrucao)	instrucaoDesvio	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IChoice()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	ICommit()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IBackCommit()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IPartialCommit()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IAny()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IReturn()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	ICall()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IJump()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IEnd()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IFail()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IFailTwice()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	IFind()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	ITestCharset()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
METHOD	Instrucoes.Instrucao	ITestAny()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java
FIELD	Estruturas.Capture	null	texto	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Estruturas/Capture.java
METHOD	Estruturas.Capture	getTexto()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Estruturas/Capture.java
FIELD	Instrucoes.ICharset	null	texto	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/ICharset.java
FIELD	Instrucoes.ICharset	null	set	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/ICharset.java
PARAMETER	Instrucoes.ICharset	ICharset(java.lang.String,java.util.Set)	texto	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/ICharset.java
METHOD	Instrucoes.ICharset	getTexto()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/ICharset.java
PARAMETER	Instrucoes.ICharset	setTexto(java.lang.String)	texto	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/ICharset.java
FIELD	Instrucoes.ICall	null	label	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/ICall.java
