kind	class	method	param	index	uri
METHOD	util.StringUtil	parseByRegex(java.lang.String,java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/util/StringUtil.java
PARAMETER	ded.model.Inheritance	equals(java.lang.Object)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Inheritance.java
FIELD	ded.ui.DiagramController	null	dragging	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
FIELD	ded.ui.DiagramController	null	dragCommandDescription	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
FIELD	ded.ui.DiagramController	null	fpsMeasurement	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
PARAMETER	ded.ui.DiagramController	hitTest(java.awt.Point,ded.ui.ControllerFilter)	filter	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	hitTest(java.awt.Point,ded.ui.ControllerFilter)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	hitTestEntity(java.awt.Point)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	hitTestInheritance(java.awt.Point)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	loadFromPNG(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	getUniqueSelected()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	getClipboardAsDiagram()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
PARAMETER	ded.ui.DiagramController	beginDragging(ded.ui.Controller,java.awt.Point)	c	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
PARAMETER	ded.ui.DiagramController	remove(ded.ui.Controller)	c	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	getImage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	innerGetImage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.ui.DiagramController	getResourceImage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/ui/DiagramController.java
METHOD	ded.model.Diagram	rgbSpecToColor(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Diagram.java
METHOD	ded.model.Diagram	copyRelationEndpoint(ded.model.RelationEndpoint,java.util.IdentityHashMap,java.util.IdentityHashMap)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Diagram.java
METHOD	ded.model.Diagram	readFromERFile(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Diagram.java
METHOD	ded.model.Diagram	readFromERStream(java.io.InputStream)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Diagram.java
FIELD	ded.model.Entity	null	shapeParams	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Entity.java
METHOD	ded.model.Entity	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Entity.java
FIELD	ded.model.Relation	null	lineWidth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/Relation.java
FIELD	ded.model.RelationEndpoint	null	entity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/RelationEndpoint.java
FIELD	ded.model.RelationEndpoint	null	inheritance	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/RelationEndpoint.java
FIELD	ded.model.RelationEndpoint	null	pt	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/ded/model/RelationEndpoint.java
METHOD	org.json.JSONObject	getNames(org.json.JSONObject)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/org/json/JSONObject.java
METHOD	org.json.JSONObject	getNames(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlaeeaf948fe_smcpeak_ded_tgz-pJ8-ded_model_SerializationTestsJ8/src/org/json/JSONObject.java
