kind	class	method	param	index	uri
FIELD	core.Tablero	null	tipoTablero	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/core/Tablero.java
PARAMETER	core.Tablero	Tablero(java.util.Map,core.Tablero.TipoTablero)	tipoTablero	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/core/Tablero.java
PARAMETER	core.Tablero	obtenerEstadoCasilla(java.awt.Point)	point	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/core/Tablero.java
PARAMETER	core.Tablero	hacerMovimiento(java.awt.Point,core.EstadoCasilla)	movida	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/core/Tablero.java
METHOD	core.Tablero	obtenerTipoTablero()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/core/Tablero.java
FIELD	core.Jugador	null	estrategia	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/core/Jugador.java
METHOD	core.Jugador	getEstrategia()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/core/Jugador.java
METHOD	ui.FabricaImagenCasilla	construirCasilla(ui.FabricaImagenCasilla.TipoCasilla)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/ui/FabricaImagenCasilla.java
FIELD	ui.TableroUI	null	tableroLogica	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/ui/TableroUI.java
FIELD	ui.TableroUI	null	tipoTablero	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlb57eb64056_jacadenac_ISI_Othello_UN_tgz-pJ8-othello_OthelloJ8/src/ui/TableroUI.java
