kind	class	method	param	index	uri
FIELD	ch2.statemachine.Miner	null	location	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/Miner.java
METHOD	ch2.statemachine.Miner	getLocation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/Miner.java
FIELD	ch2.statemachine.StateMachine	null	global	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/StateMachine.java
FIELD	ch2.troll.Troll	null	state	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/troll/Troll.java
FIELD	ch2.msg.Miner	null	location	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/Miner.java
METHOD	ch2.msg.Miner	getLocation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/Miner.java
FIELD	ch2.msg.StateMachine	null	global	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/StateMachine.java
METHOD	ch2.msg.EntityManager	get(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/EntityManager.java
PARAMETER	ch2.msg.MessageDispatcher	discharge(ch2.msg.BaseGameEntity,ch2.msg.Telegram)	receiver	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/MessageDispatcher.java
FIELD	ch2.westworld.Miner	null	location	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/westworld/Miner.java
METHOD	ch2.westworld.Miner	getLocation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/westworld/Miner.java
FIELD	ch2.westworldwithwoman.Miner	null	location	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/westworldwithwoman/Miner.java
METHOD	ch2.westworldwithwoman.Miner	getLocation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/westworldwithwoman/Miner.java
FIELD	ch2.westworldwithwoman.StateMachine	null	global	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/westworldwithwoman/StateMachine.java
