kind	class	method	param	index	uri
PARAMETER	edu.iastate.cyctools.externalSourceCode.AbstractModel	firePropertyChange(java.lang.String,java.lang.Object,java.lang.Object)	oldValue	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/externalSourceCode/AbstractModel.java
PARAMETER	edu.iastate.cyctools.externalSourceCode.AbstractModel	firePropertyChange(java.lang.String,java.lang.Object,java.lang.Object)	newValue	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/externalSourceCode/AbstractModel.java
FIELD	edu.iastate.cyctools.externalSourceCode.KeyValueComboboxModel	null	selectedItem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/externalSourceCode/KeyValueComboboxModel.java
METHOD	edu.iastate.cyctools.externalSourceCode.KeyValueComboboxModel	getSelectedItem()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/externalSourceCode/KeyValueComboboxModel.java
METHOD	edu.iastate.cyctools.externalSourceCode.KeyValueComboboxModel	get(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/externalSourceCode/KeyValueComboboxModel.java
METHOD	edu.iastate.cyctools.externalSourceCode.DiffMatchPatch	diff_halfMatch(java.lang.String,java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/externalSourceCode/DiffMatchPatch.java
METHOD	edu.iastate.cyctools.externalSourceCode.DiffMatchPatch	diff_halfMatchI(java.lang.String,java.lang.String,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/externalSourceCode/DiffMatchPatch.java
FIELD	edu.iastate.cyctools.InternalStateModel	null	state	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/InternalStateModel.java
METHOD	edu.iastate.cyctools.InternalStateModel	getState()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/InternalStateModel.java
FIELD	edu.iastate.cyctools.DefaultController	null	statusPanel	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/DefaultController.java
