kind	class	method	param	index	uri
FIELD	dk.brics.automaton.RunAutomaton	null	classmap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/RunAutomaton.java
FIELD	dk.brics.automaton.Automaton	null	info	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
FIELD	dk.brics.automaton.Automaton	null	is_debug	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.Automaton	getInfo()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.Automaton	getShortestExample(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.Automaton	getFiniteStrings()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.Automaton	getFiniteStrings(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.Automaton	shuffleSubsetOf(java.util.Collection,dk.brics.automaton.Automaton,java.lang.Character,java.lang.Character)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.State	step(char)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/State.java
PARAMETER	dk.brics.automaton.Transition	Transition(char,char,dk.brics.automaton.State)	to	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Transition.java
