kind	class	method	param	index	uri
FIELD	MazeGame.Map	null	fin	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeGame/Map.java
FIELD	MazeGame.Player	null	player	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeGame/Player.java
FIELD	MazeGame.Player	null	Instance	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeGame/Player.java
FIELD	MazeRoomLogic.MazeNode	null	mazeRoom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeNode.java
FIELD	MazeRoomLogic.MazeRoom	null	winEffect	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
FIELD	MazeRoomLogic.MazeRoom	null	loseEffect	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
FIELD	MazeRoomLogic.MazeRoom	null	enterBehavior	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
METHOD	MazeRoomLogic.MazeRoom	getEnterBehavior()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
FIELD	MazeGame.Maze	null	instance	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeGame/Maze.java
FIELD	GameOverLogic.GameOverObserver	null	hsWindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/GameOverLogic/GameOverObserver.java
