kind	class	method	param	index	uri
METHOD	com.evs.data.util.DataTypes	getDateTimeConvert(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/DataTypes.java
METHOD	com.evs.data.util.DataTypes	getTimeCheck(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/DataTypes.java
METHOD	com.evs.data.util.DataTypes	getDateCheck(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/DataTypes.java
PARAMETER	com.evs.data.util.DataTypes	toCalendar(java.lang.String,int)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/DataTypes.java
METHOD	com.evs.data.util.DataTypes	toCalendar(java.lang.String,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/DataTypes.java
METHOD	com.evs.data.util.StringUtil	asDelimitedString(java.util.Collection,java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/StringUtil.java
METHOD	com.evs.data.util.StringUtil	asCSV(java.util.Collection)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/StringUtil.java
METHOD	com.evs.data.util.StringUtil	normalizeCase(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/StringUtil.java
METHOD	com.evs.data.util.StringUtil	escapeHTML(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/evs/data/util/StringUtil.java
FIELD	com.usps.evs.vo.ReconExtractFileVO	null	extractType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ReconExtractFileVO.java
