kind	class	method	param	index	uri
FIELD	farom.astroiddriver.INDIAstroidDriver	null	currentTask	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/farom/astroiddriver/INDIAstroidDriver.java
FIELD	laazotea.indi.driver.INDIDriver	null	reader	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
FIELD	laazotea.indi.driver.INDIDriver	null	connectionP	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
METHOD	laazotea.indi.driver.INDIDriver	getSubdriver(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
PARAMETER	laazotea.indi.driver.INDIDriver	setConnectionProperty(boolean,java.lang.String)	message	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
METHOD	laazotea.indi.driver.INDIDriver	processOneXXX(laazotea.indi.driver.INDIProperty,org.w3c.dom.Element)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
METHOD	laazotea.indi.driver.INDIDriver	getSubdriver(org.w3c.dom.Element)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
METHOD	laazotea.indi.driver.INDIDriver	processNewXXXVector(org.w3c.dom.Element)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
PARAMETER	laazotea.indi.driver.INDIDriver	addProperty(laazotea.indi.driver.INDIProperty,java.lang.String)	message	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
PARAMETER	laazotea.indi.driver.INDIDriver	updateProperty(laazotea.indi.driver.INDIProperty,java.lang.String)	message	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
PARAMETER	laazotea.indi.driver.INDIDriver	sendDefXXXVectorMessage(laazotea.indi.driver.INDIProperty,java.lang.String)	message	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
PARAMETER	laazotea.indi.driver.INDIDriver	removeProperty(laazotea.indi.driver.INDIProperty,java.lang.String)	message	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
