kind	class	method	param	index	uri
FIELD	org.jbox2d.testbed.framework.ContactPoint	null	fixtureA	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/ContactPoint.java
FIELD	org.jbox2d.testbed.framework.ContactPoint	null	fixtureB	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/ContactPoint.java
FIELD	org.jbox2d.testbed.framework.ContactPoint	null	state	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/ContactPoint.java
FIELD	org.jbox2d.testbed.framework.TestbedModel	null	runningTest	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/TestbedModel.java
METHOD	org.jbox2d.testbed.framework.TestbedModel	getRunningTest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/TestbedModel.java
METHOD	org.jbox2d.testbed.framework.TestbedModel	getTestAt(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/TestbedModel.java
FIELD	org.jbox2d.testbed.framework.TestbedModel$ListItem	null	category	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/TestbedModel.java
METHOD	org.jbox2d.testbed.framework.TestbedModel$ListItem	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/TestbedModel.java
METHOD	org.jbox2d.testbed.tests.RevoluteTest	getTag(org.jbox2d.dynamics.joints.Joint)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/RevoluteTest.java
FIELD	org.jbox2d.testbed.tests.Car	null	m_car	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Car.java
FIELD	org.jbox2d.testbed.tests.Car	null	m_wheel1	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Car.java
FIELD	org.jbox2d.testbed.tests.Car	null	m_wheel2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Car.java
METHOD	org.jbox2d.testbed.tests.Car	getTag(org.jbox2d.dynamics.Body)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Car.java
METHOD	org.jbox2d.testbed.tests.Car	getTag(org.jbox2d.dynamics.joints.Joint)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Car.java
FIELD	org.jbox2d.testbed.tests.ShapeEditing	null	m_fixture2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/ShapeEditing.java
FIELD	org.jbox2d.testbed.tests.RayCastClosestCallback	null	m_point	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/RayCastTest.java
FIELD	org.jbox2d.testbed.tests.RayCastClosestCallback	null	m_normal	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/RayCastTest.java
FIELD	org.jbox2d.testbed.tests.RayCastAnyCallback	null	m_point	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/RayCastTest.java
FIELD	org.jbox2d.testbed.tests.RayCastAnyCallback	null	m_normal	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/RayCastTest.java
METHOD	org.jbox2d.testbed.tests.PrismaticTest	getTag(org.jbox2d.dynamics.joints.Joint)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/PrismaticTest.java
FIELD	org.jbox2d.testbed.tests.TheoJansen	null	m_chassis	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/TheoJansen.java
FIELD	org.jbox2d.testbed.tests.TheoJansen	null	m_wheel	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/TheoJansen.java
METHOD	org.jbox2d.testbed.tests.TheoJansen	getTag(org.jbox2d.dynamics.Body)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/TheoJansen.java
METHOD	org.jbox2d.testbed.tests.TheoJansen	getTag(org.jbox2d.dynamics.joints.Joint)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/TheoJansen.java
FIELD	org.jbox2d.testbed.tests.Pulleys	null	m_joint1	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Pulleys.java
METHOD	org.jbox2d.testbed.tests.Pulleys	getTag(org.jbox2d.dynamics.joints.Joint)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Pulleys.java
FIELD	org.jbox2d.testbed.tests.Tumbler	null	m_joint	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Tumbler.java
FIELD	org.jbox2d.testbed.tests.CharacterCollision	null	m_character	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/CharacterCollision.java
METHOD	org.jbox2d.testbed.tests.CharacterCollision	getTag(org.jbox2d.dynamics.Body)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/CharacterCollision.java
FIELD	org.jbox2d.testbed.tests.OneSidedTest	null	m_state	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/OneSidedTest.java
FIELD	org.jbox2d.testbed.tests.OneSidedTest	null	m_platform	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/OneSidedTest.java
FIELD	org.jbox2d.testbed.tests.OneSidedTest	null	m_character	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/OneSidedTest.java
METHOD	org.jbox2d.testbed.tests.OneSidedTest	getTag(org.jbox2d.dynamics.Fixture)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/OneSidedTest.java
FIELD	org.jbox2d.testbed.tests.RopeTest	null	m_ropeDef	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/RopeTest.java
FIELD	org.jbox2d.testbed.tests.RopeTest	null	m_rope	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/RopeTest.java
FIELD	org.jbox2d.testbed.tests.SensorTest	null	m_sensor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/SensorTest.java
FIELD	org.jbox2d.testbed.tests.Breakable	null	m_piece2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/Breakable.java
FIELD	org.jbox2d.testbed.tests.ConveyorBelt	null	m_platform	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/ConveyorBelt.java
METHOD	org.jbox2d.testbed.tests.ConveyorBelt	getTag(org.jbox2d.dynamics.Fixture)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/ConveyorBelt.java
FIELD	org.jbox2d.testbed.tests.VerticalStack	null	m_bullet	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/tests/VerticalStack.java
