kind	class	method	param	index	uri
FIELD	net.personaltt.main.Benchmark$SolverThread	null	state	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/main/Benchmark.java
FIELD	net.personaltt.model.Occurrence	null	allocation	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/model/Occurrence.java
PARAMETER	net.personaltt.model.Occurrence	Occurrence(net.personaltt.utils.BaseIntervalsSet,int,int,int)	domain	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/model/Occurrence.java
PARAMETER	net.personaltt.model.Occurrence	equals(java.lang.Object)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/model/Occurrence.java
PARAMETER	net.personaltt.model.Occurrence	setAllocation(net.personaltt.model.OccurrenceAllocation)	allocation	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/model/Occurrence.java
METHOD	net.personaltt.model.Schedule	getAllocationOf(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/model/Schedule.java
PARAMETER	net.personaltt.utils.intervalmultimap.IntervalMultimap	put(V,net.personaltt.utils.BaseInterval,java.util.List)	conflictingValues	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/intervalmultimap/IntervalMultimap.java
METHOD	net.personaltt.utils.intervalmultimap.IntervalMultimap	valuesIntervalOfPoint(java.lang.Integer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/intervalmultimap/IntervalMultimap.java
FIELD	net.personaltt.utils.intervalmultimap.IntervalMultimap$MultimapSubsetEdgeIterator	null	current	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/intervalmultimap/IntervalMultimap.java
METHOD	net.personaltt.utils.intervalmultimap.IntervalMultimap$MultimapSubsetEdgeIterator	next()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/intervalmultimap/IntervalMultimap.java
METHOD	net.personaltt.utils.BaseIntervalsSet	getIntervalContaining(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/BaseIntervalsSet.java
METHOD	net.personaltt.utils.BaseIntervalsSet	getFirstInterval()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/BaseIntervalsSet.java
PARAMETER	net.personaltt.utils.BaseIntervalsSet$UnionMerge	mergeEdge(java.lang.Boolean,java.lang.Boolean,java.lang.Boolean)	prev	0	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/BaseIntervalsSet.java
PARAMETER	net.personaltt.utils.BaseIntervalsSet$UnionMerge	mergeEdge(java.lang.Boolean,java.lang.Boolean,java.lang.Boolean)	state_a	1	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/BaseIntervalsSet.java
PARAMETER	net.personaltt.utils.BaseIntervalsSet$UnionMerge	mergeEdge(java.lang.Boolean,java.lang.Boolean,java.lang.Boolean)	state_b	2	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/BaseIntervalsSet.java
METHOD	net.personaltt.utils.BaseIntervalsSet$UnionMerge	mergeEdge(java.lang.Boolean,java.lang.Boolean,java.lang.Boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/utils/BaseIntervalsSet.java
