kind	class	method	param	index	uri
METHOD	fws.utility.map.SquareMap	getNeighbor(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/SquareMap.java
METHOD	fws.utility.map.SquareMap	getDiagonalNeighbor(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/SquareMap.java
METHOD	fws.utility.map.Map	getNeighbor(T,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/Map.java
METHOD	fws.utility.map.Map	getNeighbor(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/Map.java
METHOD	fws.utility.map.Map	getDiagonalNeighbor(T,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/Map.java
METHOD	fws.utility.map.Map	getDiagonalNeighbor(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/Map.java
METHOD	fws.utility.map.HexMap	getNeighbor(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/HexMap.java
METHOD	fws.utility.map.HexMap	getDiagonalNeighbor(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/HexMap.java
FIELD	fws.utility.state.StateMgr	null	active_state_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/state/StateMgr.java
METHOD	fws.utility.state.StateMgr	get(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/state/StateMgr.java
METHOD	fws.utility.state.StateMgr	getActive()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/state/StateMgr.java
FIELD	fws.utility.state.State	null	manager_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/annotator/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/state/State.java
