kind	class	method	param	index	uri
PARAMETER	net.suetholz.pos.entries.PosEntryClearKey	processEntry(net.suetholz.pos.api.StoreStrategy,net.suetholz.pos.api.SaleStrategy,net.suetholz.pos.api.SaleOutputStrategy)	receiptOutput	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/entries/PosEntryClearKey.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	setCustomer(net.suetholz.pos.api.CustomerStrategy)	customer	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getLineItemId(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getLineItemDesc(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getLineItemUnitPrice(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getLineItemQuantity(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getLineItemExtendedAmount(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getLineItemDiscountAmount(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getGreeting(net.suetholz.pos.api.StoreStrategy)	store	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getThankYou(net.suetholz.pos.api.StoreStrategy)	store	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getTotalTaxAmount(net.suetholz.pos.api.StoreStrategy)	store	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
PARAMETER	net.suetholz.pos.api.SaleStrategy	getTotalAmountDue(net.suetholz.pos.api.StoreStrategy)	store	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url0c7746c72b_wsuetholz_DiscountStrategy_tgz-pJ8-net_suetholz_pos_MainJ8/src/net/suetholz/pos/api/SaleStrategy.java
