kind	class	method	param	index	uri
FIELD	org.json.JSONObject	null	map	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONObject.java
METHOD	org.json.JSONObject	names()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONObject.java
METHOD	org.json.JSONObject	opt(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONObject.java
METHOD	org.json.JSONObject	optJSONArray(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONObject.java
METHOD	org.json.JSONObject	optJSONObject(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONObject.java
METHOD	org.json.JSONArray	opt(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONArray.java
METHOD	org.json.JSONArray	optJSONArray(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONArray.java
METHOD	org.json.JSONArray	optJSONObject(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONArray.java
METHOD	org.json.CDL	rowToJSONObject(org.json.JSONArray,org.json.JSONTokener)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/CDL.java
METHOD	org.json.CDL	toString(org.json.JSONArray)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/CDL.java
METHOD	org.json.JSONStringer	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONStringer.java
PARAMETER	org.agetac.common.api.InterventionApi	getMessage(java.lang.String)	msgId	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/agetac/common/api/InterventionApi.java
FIELD	org.agetac.common.model.sign.AbstractModel	null	nom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/agetac/common/model/sign/AbstractModel.java
FIELD	org.agetac.common.model.sign.AbstractModel	null	position	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/agetac/common/model/sign/AbstractModel.java
PARAMETER	org.agetac.common.model.sign.IModel	setPosition(org.agetac.common.model.impl.Position)	position	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/agetac/common/model/sign/IModel.java
FIELD	org.agetac.common.model.impl.Message	null	uniqueID	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/agetac/common/model/impl/Message.java
FIELD	org.agetac.common.model.impl.DemandeMoyen	null	vehId	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/agetac/common/model/impl/DemandeMoyen.java
METHOD	org.agetac.common.model.impl.DemandeMoyen	getVehId()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/agetac/common/model/impl/DemandeMoyen.java
