kind	class	method	param	index	uri
FIELD	de.measite.minidns.Record	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Record.java
FIELD	de.measite.minidns.Record	null	payloadData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Record.java
FIELD	de.measite.minidns.Record	null	bytes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Record.java
FIELD	de.measite.minidns.Record	null	hashCodeCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Record.java
METHOD	de.measite.minidns.Record	ifPossibleAs(java.lang.Class)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Record.java
FIELD	de.measite.minidns.DNSMessage	null	opcode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	responseCode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	questions	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	answerSection	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	authoritySection	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	additionalSection	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	edns	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	byteCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	toStringCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	terminalOutputCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	normalizedVersionCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage	null	hashCodeCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage$Builder	null	opcode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage$Builder	null	responseCode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage$Builder	null	questions	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage$Builder	null	answers	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage$Builder	null	nameserverRecords	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage$Builder	null	additionalResourceRecords	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
FIELD	de.measite.minidns.DNSMessage$Builder	null	ednsBuilder	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java
PARAMETER	de.measite.minidns.record.Data	serialize(java.io.DataOutputStream)	dos	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/record/Data.java
FIELD	de.measite.minidns.record.Data	null	bytes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/record/Data.java
FIELD	de.measite.minidns.record.Data	null	hashCodeCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/record/Data.java
FIELD	de.measite.minidns.Question	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Question.java
FIELD	de.measite.minidns.Question	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Question.java
FIELD	de.measite.minidns.Question	null	clazz	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Question.java
FIELD	de.measite.minidns.Question	null	byteArray	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Question.java
FIELD	de.measite.minidns.EDNS	null	variablePart	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/EDNS.java
FIELD	de.measite.minidns.EDNS	null	optRecord	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/EDNS.java
METHOD	de.measite.minidns.EDNS	getEdnsOption(de.measite.minidns.EDNS.OptionCode)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/EDNS.java
FIELD	de.measite.minidns.EDNS	null	terminalOutputCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/EDNS.java
FIELD	de.measite.minidns.EDNS$Builder	null	variablePart	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/EDNS.java
FIELD	de.measite.minidns.edns.EDNSOption	null	toStringCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/edns/EDNSOption.java
FIELD	de.measite.minidns.edns.EDNSOption	null	terminalOutputCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/edns/EDNSOption.java
FIELD	de.measite.minidns.DNSName	null	bytes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSName.java
FIELD	de.measite.minidns.DNSName	null	idn	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSName.java
FIELD	de.measite.minidns.DNSName	null	hostpart	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSName.java
FIELD	de.measite.minidns.DNSName	null	labels	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSName.java
FIELD	de.measite.minidns.dane.java7.DaneExtendedTrustManager	null	base	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/dane/java7/DaneExtendedTrustManager.java
METHOD	de.measite.minidns.dane.java7.DaneExtendedTrustManager	getDefaultTrustManager()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/dane/java7/DaneExtendedTrustManager.java
FIELD	de.measite.minidns.AbstractDNSClient	null	cache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/AbstractDNSClient.java
FIELD	de.measite.minidns.AbstractDNSClient	null	dataSource	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/AbstractDNSClient.java
PARAMETER	de.measite.minidns.AbstractDNSClient	query(de.measite.minidns.DNSMessage.Builder)	query	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/AbstractDNSClient.java
PARAMETER	de.measite.minidns.AbstractDNSClient	newQuestion(de.measite.minidns.DNSMessage.Builder)	questionMessage	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/AbstractDNSClient.java
