kind	class	method	param	index	uri
PARAMETER	com.hoten.delaunay.voronoi.VoronoiGraph	getBiome(com.hoten.delaunay.voronoi.Center)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/VoronoiGraph.java
PARAMETER	com.hoten.delaunay.voronoi.VoronoiGraph	getColor(java.lang.Enum)	biome	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/VoronoiGraph.java
METHOD	com.hoten.delaunay.voronoi.VoronoiGraph	edgeWithCenters(com.hoten.delaunay.voronoi.Center,com.hoten.delaunay.voronoi.Center)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/VoronoiGraph.java
PARAMETER	com.hoten.delaunay.voronoi.VoronoiGraph	paint(java.awt.Graphics2D,boolean,boolean,boolean,boolean,boolean,boolean)	drawVoronoi	6	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/VoronoiGraph.java
METHOD	com.hoten.delaunay.voronoi.VoronoiGraph	lookupEdgeFromCorner(com.hoten.delaunay.voronoi.Corner,com.hoten.delaunay.voronoi.Corner)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/VoronoiGraph.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Voronoi	null	_sites	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Voronoi.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Voronoi	null	_triangles	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Voronoi.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Voronoi	null	_edges	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Voronoi.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.SiteList	null	_sites	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/SiteList.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Edge	null	_leftVertex	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Edge.java
