kind	class	method	param	index	uri
FIELD	msc.ElkinItem	null	pseudo	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/msc/ElkinItem.java
METHOD	msc.Greedy	MSCGreedyBasedSol()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/msc/Greedy.java
FIELD	dataStructure.AdjList	null	tempAdjl	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/dataStructure/AdjList.java
PARAMETER	dataStructure.AdjList	readFromTopologyFile(java.lang.String,dataStructure.PositionTable)	pt	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/dataStructure/AdjList.java
PARAMETER	dataStructure.Weight	getWeight(int,int,dataStructure.AdjList)	adjl	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/dataStructure/Weight.java
METHOD	dataStructure.AdjMatrix	getSqrtKUninformedTerminalsTreeWithRestriction(dataStructure.AdjMatrix,int[],double[],double,int[],int[],int,java.util.HashSet,dataStructure.Weight,dataStructure.AdjList)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/dataStructure/AdjMatrix.java
PARAMETER	algorithms.Algorithm	execute(double)	perc	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/algorithms/Algorithm.java
PARAMETER	algorithms.Algorithm	getViolatedTerminalsCVR(double[],double[])	minCVR	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/algorithms/Algorithm.java
PARAMETER	algorithms.Algorithm	getViolatedTerminalsCVR(double[],double[])	maxCVR	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/algorithms/Algorithm.java
METHOD	algorithms.MSCBasedAlgorithm	procDistDom(java.util.ArrayList,java.util.ArrayList)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/algorithms/MSCBasedAlgorithm.java
PARAMETER	algorithms.MSCBasedAlgorithm	setMSCGroupParametrized(java.util.HashSet,msc.Group,int,java.util.ArrayList,java.util.ArrayList,boolean)	v1Set	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url594c007908_hugobraga_College_tgz-pJ8-main_GraphJ8/src/algorithms/MSCBasedAlgorithm.java
