kind	class	method	param	index	uri
FIELD	minewebsocket.TorchAction	null	t	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/TorchAction.java
FIELD	minewebsocket.TorchAction	null	mh	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/TorchAction.java
PARAMETER	minewebsocket.TorchAction	connected(boolean)	status	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/TorchAction.java
FIELD	minewebsocket.handlers.MessageHandler	null	connection	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/handlers/MessageHandler.java
FIELD	minewebsocket.handlers.MessageHandler	null	queue	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/handlers/MessageHandler.java
METHOD	minewebsocket.handlers.MessageHandler	getFromPins(int[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/handlers/MessageHandler.java
METHOD	minewebsocket.handlers.MessageHandler	sendToPin(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/handlers/MessageHandler.java
METHOD	minewebsocket.handlers.MessageHandler	sendToPin(int,int,long,boolean,boolean,int[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/handlers/MessageHandler.java
METHOD	minewebsocket.handlers.MessageHandler	sendLogMessage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/handlers/MessageHandler.java
METHOD	minewebsocket.handlers.MessageHandler	broadcastMessage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/handlers/MessageHandler.java
