kind	class	method	param	index	uri
FIELD	risiko.Engine	null	executor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/Engine.java
PARAMETER	risiko.gamestate.State	setTurn(risiko.gamestate.Player)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/gamestate/State.java
PARAMETER	risiko.gamestate.State	setPhase(risiko.gamestate.TurnPhase)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/gamestate/State.java
PARAMETER	risiko.gamestate.State	setState(risiko.gamestate.GameState)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/gamestate/State.java
PARAMETER	risiko.gamestate.State	setTroopsToSet(int)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/gamestate/State.java
PARAMETER	risiko.gamestate.State	setConqueredCountry(boolean)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/gamestate/State.java
METHOD	risiko.ActionExecutor	caseAddPlayer(risiko.actions.AddPlayer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/ActionExecutor.java
FIELD	risiko.actions.util.actionSwitch	null	modelPackage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseAtack(risiko.actions.Atack)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseSetTroops(risiko.actions.SetTroops)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseCoinCards(risiko.actions.CoinCards)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseInGameAction(risiko.actions.InGameAction)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseAction(risiko.actions.Action)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseRemovePlayer(risiko.actions.RemovePlayer)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseDrawCard(risiko.actions.DrawCard)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseMoveTroops(risiko.actions.MoveTroops)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseAddPlayer(risiko.actions.AddPlayer)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	caseStartGame(risiko.actions.StartGame)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.util.actionSwitch	defaultCase(org.eclipse.emf.ecore.EObject)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionSwitch.java
PARAMETER	risiko.actions.Atack	setTroops(int)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/Atack.java
PARAMETER	risiko.actions.InGameAction	setPlayer(risiko.gamestate.Player)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/InGameAction.java
