kind	class	method	param	index	uri
FIELD	zmq.Dealer	null	prefetched_msg	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/Dealer.java
PARAMETER	zmq.Dealer	xxrecv(int)	flags_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/Dealer.java
FIELD	zmq.SocketBase	null	monitor_socket	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xattach_pipe(zmq.Pipe,boolean)	pipe_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xattach_pipe(zmq.Pipe,boolean)	icanhasall_	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xterminated(zmq.Pipe)	pipe_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xsetsockopt(int,java.lang.Object)	option_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xsetsockopt(int,java.lang.Object)	optval_	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xsend(zmq.Msg,int)	msg_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xsend(zmq.Msg,int)	flags_	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xrecv(int)	flags_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xread_activated(zmq.Pipe)	pipe_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xwrite_activated(zmq.Pipe)	pipe_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	xhiccuped(zmq.Pipe)	pipe_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
PARAMETER	zmq.SocketBase	timer_event(int)	id_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/SocketBase.java
FIELD	zmq.Own	null	owner	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/Own.java
PARAMETER	zmq.ZObject	process_own(zmq.Own)	object	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/ZObject.java
PARAMETER	zmq.ZObject	process_attach(zmq.IEngine)	engine	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/ZObject.java
PARAMETER	zmq.ZObject	process_bind(zmq.Pipe)	pipe	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/ZObject.java
PARAMETER	zmq.ZObject	process_activate_write(long)	msgs_read_	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/zmq/ZObject.java
