kind	class	method	param	index	uri
PARAMETER	org.knowm.xchart.internal.chartpart.Chart	paint(java.awt.Graphics2D,int,int)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Chart.java
PARAMETER	org.knowm.xchart.internal.chartpart.Chart	paint(java.awt.Graphics2D,int,int)	width	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Chart.java
PARAMETER	org.knowm.xchart.internal.chartpart.Chart	paint(java.awt.Graphics2D,int,int)	height	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Chart.java
FIELD	org.knowm.xchart.internal.Series	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/Series.java
FIELD	org.knowm.xchart.internal.chartpart.ChartTitle	null	bounds	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/ChartTitle.java
PARAMETER	org.knowm.xchart.internal.chartpart.ChartPart	paint(java.awt.Graphics2D)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/ChartPart.java
PARAMETER	org.knowm.xchart.internal.chartpart.Legend_	getSeriesLegendRenderGraphicHeight(org.knowm.xchart.internal.Series)	series	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Legend_.java
PARAMETER	org.knowm.xchart.internal.chartpart.Legend_	doPaint(java.awt.Graphics2D)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Legend_.java
FIELD	org.knowm.xchart.internal.chartpart.Legend_	null	bounds	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Legend_.java
FIELD	org.knowm.xchart.internal.chartpart.Axis	null	axisDataType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Axis.java
FIELD	org.knowm.xchart.CategorySeries	null	chartCategorySeriesRenderStyle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/CategorySeries.java
METHOD	org.knowm.xchart.CategorySeries	getChartCategorySeriesRenderStyle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/CategorySeries.java
METHOD	org.knowm.xchart.CategorySeries	getLegendRenderType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/CategorySeries.java
PARAMETER	org.knowm.xchart.internal.Series_AxesChart	getAxesType(java.util.List)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/Series_AxesChart.java
PARAMETER	org.knowm.xchart.style.markers.Marker	paint(java.awt.Graphics2D,double,double,int)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/style/markers/Marker.java
PARAMETER	org.knowm.xchart.style.markers.Marker	paint(java.awt.Graphics2D,double,double,int)	xOffset	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/style/markers/Marker.java
PARAMETER	org.knowm.xchart.style.markers.Marker	paint(java.awt.Graphics2D,double,double,int)	yOffset	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/style/markers/Marker.java
PARAMETER	org.knowm.xchart.style.markers.Marker	paint(java.awt.Graphics2D,double,double,int)	markerSize	3	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/style/markers/Marker.java
PARAMETER	org.knowm.xchart.internal.chartpart.PlotContent_	doPaint(java.awt.Graphics2D)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/PlotContent_.java
PARAMETER	org.knowm.xchart.internal.chartpart.PlotContent_	closePath(java.awt.Graphics2D,java.awt.geom.Path2D.Double,double,java.awt.geom.Rectangle2D,double)	bounds	3	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/PlotContent_.java
FIELD	org.knowm.xchart.PieSeries	null	chartPieSeriesRenderStyle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/PieSeries.java
METHOD	org.knowm.xchart.PieSeries	getChartPieSeriesRenderStyle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/PieSeries.java
METHOD	org.knowm.xchart.PieSeries	getLegendRenderType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/PieSeries.java
FIELD	org.knowm.xchart.XYSeries	null	xyChartSeriesRenderStyle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/XYSeries.java
METHOD	org.knowm.xchart.XYSeries	getXYSeriesRenderStyle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/XYSeries.java
METHOD	org.knowm.xchart.XYSeries	getLegendRenderType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/XYSeries.java
FIELD	org.knowm.xchart.BubbleSeries	null	bubbleSeriesRenderStyle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/BubbleSeries.java
METHOD	org.knowm.xchart.BubbleSeries	getBubbleSeriesRenderStyle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/BubbleSeries.java
METHOD	org.knowm.xchart.BubbleSeries	getLegendRenderType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/BubbleSeries.java
PARAMETER	org.knowm.xchart.internal.Series_Bubble	getAxesType(java.util.List)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/Series_Bubble.java
PARAMETER	org.knowm.xchart.style.markers.None	paint(java.awt.Graphics2D,double,double,int)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/style/markers/None.java
