kind	class	method	param	index	uri
FIELD	C64Applet	null	cpu	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
FIELD	C64Applet	null	screen	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
FIELD	C64Applet	null	files	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
FIELD	C64Applet	null	thread	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
FIELD	C64Applet	null	autostartDisk	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
FIELD	C64Applet	null	autostartProgram	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
FIELD	C64Applet	null	fullFrame	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
FIELD	C64Applet	null	fullWin	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/C64Applet.java
PARAMETER	com.dreamfabric.jac64.PatchListener	readFile(java.lang.String,int)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/PatchListener.java
PARAMETER	com.dreamfabric.jac64.PatchListener	readFile(java.lang.String,int)	addr	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/PatchListener.java
FIELD	com.dreamfabric.jac64.CPU	null	cheatMon	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/CPU.java
FIELD	com.dreamfabric.jac64.MOS6510Core	null	list	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
FIELD	com.dreamfabric.jac64.MOS6510Core	null	chips	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
FIELD	com.dreamfabric.jac64.MOS6510Core	null	debugInfo	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
PARAMETER	com.dreamfabric.jac64.MOS6510Core	fetchByte(int)	adr	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
PARAMETER	com.dreamfabric.jac64.MOS6510Core	writeByte(int,int)	adr	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
PARAMETER	com.dreamfabric.jac64.MOS6510Core	writeByte(int,int)	data	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
PARAMETER	com.dreamfabric.jac64.MOS6510Core	unknownInstruction(int,int)	pc	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
PARAMETER	com.dreamfabric.jac64.MOS6510Core	patchROM(com.dreamfabric.jac64.PatchListener)	list	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
METHOD	com.dreamfabric.jac64.MOS6510Core	getDebug(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/MOS6510Core.java
FIELD	com.dreamfabric.jac64.C64Reader	null	listener	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Reader.java
PARAMETER	com.dreamfabric.jac64.C64Reader	readDiskFile(com.dreamfabric.jac64.DirEntry,java.lang.String,int,java.io.OutputStream)	str	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Reader.java
FIELD	com.dreamfabric.jac64.C64Screen	null	sidChip	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	trackSound	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	motorSound	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	colors	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	image	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	screen	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	mis	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	message	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.C64Screen	null	crtImage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
PARAMETER	com.dreamfabric.jac64.C64Screen	updateDisk(java.lang.Object,java.lang.Object)	obs	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C64Screen.java
FIELD	com.dreamfabric.jac64.ExtChip	null	observer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/ExtChip.java
PARAMETER	com.dreamfabric.jac64.ExtChip	clock(long)	cycles	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/ExtChip.java
PARAMETER	com.dreamfabric.jac64.IMonitor	init(com.dreamfabric.jac64.MOS6510Core)	cpu	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/IMonitor.java
PARAMETER	com.dreamfabric.jac64.IMonitor	setEnabled(boolean)	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/IMonitor.java
PARAMETER	com.dreamfabric.jac64.IMonitor	info(java.lang.Object)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/IMonitor.java
PARAMETER	com.dreamfabric.jac64.IMonitor	error(java.lang.Object)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/IMonitor.java
FIELD	com.dreamfabric.jac64.Keyboard	null	hotkeyScript	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/Keyboard.java
FIELD	com.dreamfabric.jac64.Keyboard	null	userDefinedStick	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/Keyboard.java
PARAMETER	com.dreamfabric.jac64.Keyboard	handleKeyPress(int,int)	location	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/Keyboard.java
PARAMETER	com.dreamfabric.jac64.Keyboard	handleKeyRelease(int,int)	location	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/Keyboard.java
FIELD	com.dreamfabric.jac64.TimeEvent	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/TimeEvent.java
PARAMETER	com.dreamfabric.jac64.TimeEvent	execute(long)	t	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/TimeEvent.java
PARAMETER	com.dreamfabric.jac64.C1541Chips	performRead(int,long)	cycles	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url8d3c4d17f5_catseye_JaC64_tgz-pJ8-JaC64J8/src/com/dreamfabric/jac64/C1541Chips.java
