kind	class	method	param	index	uri
PARAMETER	nl.rug.peerbox.logic.PeerListener	updated(nl.rug.peerbox.logic.PeerHost)	ph	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/PeerListener.java
PARAMETER	nl.rug.peerbox.logic.PeerListener	deleted(nl.rug.peerbox.logic.PeerHost)	ph	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/PeerListener.java
PARAMETER	nl.rug.peerbox.logic.PeerListener	joined(nl.rug.peerbox.logic.PeerHost)	peerHost	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/PeerListener.java
PARAMETER	nl.rug.peerbox.logic.filesystem.VFSListener	added(nl.rug.peerbox.logic.filesystem.PeerboxFile)	f	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/VFSListener.java
PARAMETER	nl.rug.peerbox.logic.filesystem.VFSListener	deleted(nl.rug.peerbox.logic.filesystem.PeerboxFile)	f	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/VFSListener.java
PARAMETER	nl.rug.peerbox.logic.filesystem.VFSListener	updated(nl.rug.peerbox.logic.filesystem.PeerboxFile)	f	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/VFSListener.java
PARAMETER	nl.rug.peerbox.logic.Context	addPeerListener(nl.rug.peerbox.logic.PeerListener)	l	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/Context.java
PARAMETER	nl.rug.peerbox.logic.Context	removePeerListener(nl.rug.peerbox.logic.PeerListener)	l	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/Context.java
PARAMETER	nl.rug.peerbox.logic.Context	peerLeft(nl.rug.peerbox.logic.Peer)	peer	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/Context.java
FIELD	nl.rug.peerbox.logic.filesystem.PeerboxFile	null	file	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/PeerboxFile.java
METHOD	nl.rug.peerbox.logic.filesystem.PeerboxFile	exists()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/PeerboxFile.java
METHOD	nl.rug.peerbox.logic.filesystem.PeerboxFile	getFile()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/PeerboxFile.java
METHOD	nl.rug.peerbox.logic.messaging.Message$MessagePrinter	printPayload(byte[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/messaging/Message.java
PARAMETER	nl.rug.peerbox.logic.filesystem.VirtualFileSystem	joined(nl.rug.peerbox.logic.PeerHost)	peerHost	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/VirtualFileSystem.java
PARAMETER	nl.rug.peerbox.logic.filesystem.VirtualFileSystem	updated(nl.rug.peerbox.logic.PeerHost)	ph	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/VirtualFileSystem.java
PARAMETER	nl.rug.peerbox.logic.filesystem.Filelist	serialize(java.lang.String,java.lang.String)	datafile	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/Filelist.java
PARAMETER	nl.rug.peerbox.logic.filesystem.Filelist	serialize(java.lang.String,java.lang.String)	path	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/filesystem/Filelist.java
PARAMETER	nl.rug.peerbox.middleware.HostListener	detected(int)	hostID	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/middleware/HostListener.java
PARAMETER	nl.rug.peerbox.middleware.HostListener	removed(int)	hostID	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/middleware/HostListener.java
FIELD	nl.rug.peerbox.ui.PeerView	null	model	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/ui/PeerView.java
PARAMETER	nl.rug.peerbox.middleware.PrettyPrinter	printPayload(byte[])	payload	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/middleware/PrettyPrinter.java
PARAMETER	nl.rug.peerbox.logic.messaging.MessageHandler	handle(nl.rug.peerbox.logic.messaging.Message,nl.rug.peerbox.logic.Context)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urla958522fc1_spirosikmd_inmdsy_08_tgz-pJ8-TesterAppJ8/src/nl/rug/peerbox/logic/messaging/MessageHandler.java
