kind	class	method	param	index	uri
FIELD	com.moblima.dataaccess.MovieDAOImpl	null	movieDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieDAOImpl.java
PARAMETER	com.moblima.dataaccess.MovieDAOImpl	updateMovie(com.moblima.model.Movie)	movie	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieDAOImpl.java
METHOD	com.moblima.dataaccess.MovieDAOImpl	getMovie(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieDAOImpl.java
PARAMETER	com.moblima.dataaccess.MovieDAO	createMovie(com.moblima.model.Movie)	movie	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieDAO.java
PARAMETER	com.moblima.dataaccess.MovieDAO	updateMovie(com.moblima.model.Movie)	movie	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieDAO.java
PARAMETER	com.moblima.dataaccess.MovieDAO	getMovie(int)	movieCode	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieDAO.java
PARAMETER	com.moblima.dataaccess.MovieDAO	searchMovies(java.lang.String)	search	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieDAO.java
FIELD	com.moblima.dataaccess.SerializeDB	null	instance	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/SerializeDB.java
METHOD	com.moblima.model.Cinema	getSeat(java.lang.String,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/model/Cinema.java
FIELD	com.moblima.dataaccess.PublicHolidayDAOImpl	null	publicHolidayDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/PublicHolidayDAOImpl.java
PARAMETER	com.moblima.dataaccess.PublicHolidayDAO	createPublicHoliday(com.moblima.model.PublicHoliday)	publicHoliday	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/PublicHolidayDAO.java
PARAMETER	com.moblima.dataaccess.PublicHolidayDAO	delete(com.moblima.model.PublicHoliday)	publicHoliday	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/PublicHolidayDAO.java
FIELD	com.moblima.dataaccess.MovieGoerDAOImpl	null	movieGoerDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieGoerDAOImpl.java
PARAMETER	com.moblima.dataaccess.MovieGoerDAOImpl	updateMovieGoer(com.moblima.model.MovieGoer)	movieGoer	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieGoerDAOImpl.java
METHOD	com.moblima.dataaccess.MovieGoerDAOImpl	getMovieGoerByID(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieGoerDAOImpl.java
METHOD	com.moblima.dataaccess.MovieGoerDAOImpl	getMovieGoerByMobileNo(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/MovieGoerDAOImpl.java
