kind	class	method	param	index	uri
FIELD	jasl.ui.data.Scenario	null	_name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Scenario.java
METHOD	jasl.ui.data.Scenario	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Scenario.java
METHOD	jasl.ui.data.Side	player(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Side.java
FIELD	jasl.ui.data.Stack	null	_unit	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Stack.java
METHOD	jasl.ui.data.Stack	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Stack.java
METHOD	jasl.ui.data.Stack	unit()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Stack.java
METHOD	jasl.ui.data.Stack	portagedItems()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Stack.java
METHOD	jasl.ui.data.Stack	subStacks()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Stack.java
FIELD	jasl.ui.data.Game	null	_game	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Game.java
METHOD	jasl.ui.data.Game	game()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/ui/data/Game.java
PARAMETER	jasl.counters.Fighting	isStatusSet(jasl.counters.Status.States)	state	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/counters/Fighting.java
PARAMETER	jasl.counters.Identity	setIdentity(java.lang.String)	newIdentity	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/counters/Identity.java
PARAMETER	jasl.counters.Status	isStatusSet(jasl.counters.Status.States)	state	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb3290c8e9e_craigonic_jasl_tgz-pJ8-DriverJ8/src/jasl/counters/Status.java
