kind	class	method	param	index	uri
PARAMETER	com.sjl.health.Instant	before(com.sjl.health.Instant)	anInstant	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/Instant.java
PARAMETER	com.sjl.health.Instant	after(com.sjl.health.Instant)	anInstant	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/Instant.java
PARAMETER	com.sjl.health.HealthListener	onChange(com.sjl.health.HealthInfo.StateInfo,com.sjl.health.HealthInfo.StateInfo)	aFrom	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/HealthListener.java
PARAMETER	com.sjl.health.HealthListener	onChange(com.sjl.health.HealthInfo.StateInfo,com.sjl.health.HealthInfo.StateInfo)	aTo	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/HealthListener.java
PARAMETER	com.sjl.health.HealthInfo	addListener(com.sjl.health.HealthListener)	aListener	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/HealthInfo.java
PARAMETER	com.sjl.health.HealthInfo	removeListener(com.sjl.health.HealthListener)	aListener	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/HealthInfo.java
PARAMETER	com.sjl.health.InternallyIterable	each(com.sjl.health.InternallyIterable.Callback)	aCallback	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/InternallyIterable.java
PARAMETER	com.sjl.health.InternallyIterable$Callback	with(T)	aT	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/InternallyIterable.java
PARAMETER	com.sjl.health.Configuration	init(com.sjl.health.IssueTrackerFactory,com.sjl.health.internal.Clock)	anIssueTrackerFactory	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/Configuration.java
PARAMETER	com.sjl.health.Configuration	init(com.sjl.health.IssueTrackerFactory,com.sjl.health.internal.Clock)	aClock	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/Configuration.java
PARAMETER	com.sjl.health.internal.State	failure(java.lang.Throwable)	aThrowable	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/internal/State.java
PARAMETER	com.sjl.health.SampleConfiguration$1	add(com.sjl.health.HealthInfo.StateInfo)	aStateInfo	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/SampleConfiguration.java
PARAMETER	com.sjl.health.Condition	test(com.sjl.health.Statistics,com.sjl.health.Statistics)	aSuccess	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/Condition.java
PARAMETER	com.sjl.health.Condition	test(com.sjl.health.Statistics,com.sjl.health.Statistics)	aFailure	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/Condition.java
PARAMETER	com.sjl.health.Transitions$TransitionBuilder$1	attempt(com.sjl.health.Statistics,com.sjl.health.Statistics,java.lang.Throwable)	aMaybeIssue	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/Transitions.java
PARAMETER	com.sjl.health.SimpleConfiguration$StateFactory	newState(com.sjl.health.Issue,com.sjl.health.internal.IssueTracker,com.sjl.health.internal.Clock)	aCause	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/SimpleConfiguration.java
PARAMETER	com.sjl.health.SimpleConfiguration$StateFactory	newState(com.sjl.health.Issue,com.sjl.health.internal.IssueTracker,com.sjl.health.internal.Clock)	anIssues	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/SimpleConfiguration.java
PARAMETER	com.sjl.health.SimpleConfiguration$StateFactory	newState(com.sjl.health.Issue,com.sjl.health.internal.IssueTracker,com.sjl.health.internal.Clock)	aClock	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/SimpleConfiguration.java
FIELD	com.sjl.health.SimpleConfiguration$TransitionPair	null	promotion	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/SimpleConfiguration.java
FIELD	com.sjl.health.SimpleConfiguration$TransitionPair	null	demotion	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/SimpleConfiguration.java
PARAMETER	com.sjl.health.internal.Transition	attempt(com.sjl.health.Statistics,com.sjl.health.Statistics,java.lang.Throwable)	aSuccess	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/internal/Transition.java
PARAMETER	com.sjl.health.internal.Transition	attempt(com.sjl.health.Statistics,com.sjl.health.Statistics,java.lang.Throwable)	aFailure	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8/src/com/sjl/health/internal/Transition.java
