kind	class	method	param	index	uri
PARAMETER	permlib.property.HereditaryProperty	getBasisTo(int)	n	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/HereditaryProperty.java
PARAMETER	permlib.property.PermProperty	isSatisfiedBy(permlib.Permutation)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/PermProperty.java
PARAMETER	permlib.property.PermProperty	isSatisfiedBy(int[])	values	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/PermProperty.java
PARAMETER	permlib.property.Universal	isSatisfiedBy(permlib.Permutation)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/Universal.java
PARAMETER	permlib.property.Universal	isSatisfiedBy(int[])	values	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/Universal.java
PARAMETER	permlib.property.Universal	getBasisTo(int)	n	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/Universal.java
PARAMETER	permlib.property.MultipleAvoidsFromRight	getBasisTo(int)	n	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/MultipleAvoidsFromRight.java
PARAMETER	permlib.property.MultipleAvoidsFromRight	isSatisfiedBy(int[])	values	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/MultipleAvoidsFromRight.java
PARAMETER	permlib.property.AvoidsIncreasing	getBasisTo(int)	n	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/AvoidsIncreasing.java
PARAMETER	permlib.property.AvoidanceTest$SpecialCaseAvoidanceTest$1	getBasisTo(int)	n	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc175f05cb8_mchllbrt_PermCode_tgz-pJ8-permlib_examples_UniversalSeparableJ8/src/permlib/property/AvoidanceTest.java
