kind	class	method	param	index	uri
FIELD	rivercityransom.tools.RandomSingleton	null	instance	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/tools/RandomSingleton.java
PARAMETER	rivercityransom.services.BlocService	init(rivercityransom.enumerations.Type,rivercityransom.services.ObjetService)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/BlocService.java
PARAMETER	rivercityransom.services.BlocService	init(rivercityransom.enumerations.Type,rivercityransom.services.ObjetService)	tresor	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/BlocService.java
PARAMETER	rivercityransom.services.BlocService	setObjet(rivercityransom.services.ObjetService)	t	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/BlocService.java
PARAMETER	rivercityransom.services.ObjetService	init(rivercityransom.enumerations.Tresor)	tresor	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/ObjetService.java
PARAMETER	rivercityransom.services.MoteurJeuService	init(int,int,int)	largeur	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/MoteurJeuService.java
PARAMETER	rivercityransom.services.MoteurJeuService	init(int,int,int)	hauteur	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/MoteurJeuService.java
PARAMETER	rivercityransom.services.MoteurJeuService	init(int,int,int)	profondeur	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/MoteurJeuService.java
PARAMETER	rivercityransom.services.MoteurJeuService	pasDeJeu(rivercityransom.enumerations.Commande,rivercityransom.enumerations.Commande)	cR	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/MoteurJeuService.java
PARAMETER	rivercityransom.services.MoteurJeuService	pasDeJeu(rivercityransom.enumerations.Commande,rivercityransom.enumerations.Commande)	cA	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/services/MoteurJeuService.java
