kind	class	method	param	index	uri
FIELD	normchan.crapssim.engine.Layout	null	dice	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/engine/Layout.java
METHOD	normchan.crapssim.engine.Layout	getPassLine()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/engine/Layout.java
METHOD	normchan.crapssim.engine.Layout	getNumberBetOn(java.lang.Class,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/engine/Layout.java
PARAMETER	normchan.crapssim.simulation.strategy.PlayerStrategy	update(java.util.Observable,java.lang.Object)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/PlayerStrategy.java
PARAMETER	normchan.crapssim.simulation.strategy.PlayerStrategy	update(java.util.Observable,java.lang.Object)	arg	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/PlayerStrategy.java
PARAMETER	normchan.crapssim.simulation.tracker.Tracker	printResults(java.io.PrintStream)	stream	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/tracker/Tracker.java
FIELD	normchan.crapssim.Simulator	null	tracker	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/Simulator.java
PARAMETER	normchan.crapssim.simulation.strategy.ProgressiveRollStrategy	handleNumberEstablished(normchan.crapssim.engine.bets.PassOrCome)	bet	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/ProgressiveRollStrategy.java
FIELD	normchan.crapssim.simulation.strategy.ProgressiveComeOutHedgeStrategy10	null	comeBets	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/ProgressiveComeOutHedgeStrategy10.java
FIELD	normchan.crapssim.simulation.strategy.ProgressiveComeOutHedgeStrategy10	null	tracker	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/ProgressiveComeOutHedgeStrategy10.java
METHOD	normchan.crapssim.simulation.strategy.ProgressiveComeOutHedgeStrategy10	getComeBets()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/ProgressiveComeOutHedgeStrategy10.java
FIELD	normchan.crapssim.simulation.strategy.ProgressiveHedgeStrategy10	null	hedgeBet	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/ProgressiveHedgeStrategy10.java
METHOD	normchan.crapssim.simulation.strategy.ProgressiveHedgeStrategy10	getCurrentWinLoss()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc7e4b8c1f2_normchan_craps_simulator_tgz-pJ8-normchan_crapssim_SimulatorJ8/src/normchan/crapssim/simulation/strategy/ProgressiveHedgeStrategy10.java
