kind	class	method	param	index	uri
PARAMETER	c.ty.Type	withGenericArgs(c.ty.Type[],c.ty.Type[])	typeGenericArgs	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/Type.java
PARAMETER	c.ty.Type	withGenericArgs(c.ty.Type[],c.ty.Type[])	methodGenericArgs	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/Type.java
PARAMETER	c.ty.Type	getSupertypes(c.TypeDef,c.MethodDef)	typeCtx	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/Type.java
PARAMETER	c.ty.Type	getSupertypes(c.TypeDef,c.MethodDef)	methodCtx	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/Type.java
PARAMETER	c.ty.Type	getSubtypes(c.TypeDef,c.MethodDef)	typeCtx	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/Type.java
PARAMETER	c.ty.Type	getSubtypes(c.TypeDef,c.MethodDef)	methodCtx	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/Type.java
PARAMETER	c.ty.Type	equals(java.lang.Object)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/Type.java
FIELD	c.MethodDef	null	body	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/MethodDef.java
PARAMETER	c.ty.ParameterizedType	getSupertypes(c.TypeDef,c.MethodDef)	typeCtx	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/ParameterizedType.java
PARAMETER	c.ty.ParameterizedType	getSupertypes(c.TypeDef,c.MethodDef)	methodCtx	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/c/ty/ParameterizedType.java
