kind	class	method	param	index	uri
PARAMETER	Crypt2	init_perm(Array[],byte[],int,int)	chars_in	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/Crypt2.java
FIELD	dk.brics.automaton.RunAutomaton	null	classmap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/RunAutomaton.java
FIELD	dk.brics.automaton.Automaton	null	singleton	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
FIELD	dk.brics.automaton.Automaton	null	is_debug	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.Automaton	isDebug()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/Automaton.java
METHOD	dk.brics.automaton.State	step(char)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/State.java
METHOD	dk.brics.automaton.ShuffleOperations	shuffleSubsetOf(java.util.Collection,dk.brics.automaton.Automaton,java.lang.Character,java.lang.Character)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/ShuffleOperations.java
METHOD	dk.brics.automaton.StringUnionOperations$State	getState(char)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/StringUnionOperations.java
FIELD	dk.brics.automaton.StringUnionOperations	null	register	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/StringUnionOperations.java
FIELD	dk.brics.automaton.StringUnionOperations	null	previous	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/StringUnionOperations.java
PARAMETER	dk.brics.automaton.AutomatonProvider	getAutomaton(java.lang.String)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/AutomatonProvider.java
METHOD	dk.brics.automaton.DatatypesAutomatonProvider	getAutomaton(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/dk/brics/automaton/DatatypesAutomatonProvider.java
PARAMETER	ErrorFrame$1	actionPerformed(java.awt.event.ActionEvent)	arg0	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/ErrorFrame.java
PARAMETER	GUI$RunAction	actionPerformed(java.awt.event.ActionEvent)	ae	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
PARAMETER	GUI$StopAction	actionPerformed(java.awt.event.ActionEvent)	e	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
PARAMETER	GUI$CloseAction	actionPerformed(java.awt.event.ActionEvent)	event	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
PARAMETER	GUI$3	actionPerformed(java.awt.event.ActionEvent)	e	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
PARAMETER	GUI$4	actionPerformed(java.awt.event.ActionEvent)	e	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
PARAMETER	GUI$5	actionPerformed(java.awt.event.ActionEvent)	e	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
PARAMETER	GUI$7	actionPerformed(java.awt.event.ActionEvent)	ae	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
FIELD	GUI	null	updater	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/GUI.java
FIELD	Util$2	null	str	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcdd0c1ab49_emiln_JHouseFireExplorer_tgz-pJ8-dk_brics_automaton_DatatypesJ8/src/Util.java
