kind	class	method	param	index	uri
PARAMETER	ru.spbau.sd.model.framework.FieldGeometry	arePointsNear(int,int,int,int)	x1	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldGeometry.java
PARAMETER	ru.spbau.sd.model.framework.FieldGeometry	arePointsNear(int,int,int,int)	y1	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldGeometry.java
PARAMETER	ru.spbau.sd.model.framework.FieldGeometry	arePointsNear(int,int,int,int)	x2	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldGeometry.java
PARAMETER	ru.spbau.sd.model.framework.FieldGeometry	arePointsNear(int,int,int,int)	y2	3	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldGeometry.java
PARAMETER	ru.spbau.sd.model.framework.FieldGeometry	getNeighborByDir(int,int,int)	dir	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldGeometry.java
PARAMETER	ru.spbau.sd.model.framework.FieldGeometry	getNeighborByDir(int,int,int)	baseX	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldGeometry.java
PARAMETER	ru.spbau.sd.model.framework.FieldGeometry	getNeighborByDir(int,int,int)	baseY	2	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldGeometry.java
METHOD	ru.spbau.sd.model.framework.Field	getObjectOnPos(ru.spbau.sd.model.framework.Point2D)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/Field.java
PARAMETER	ru.spbau.sd.model.framework.FieldObject$InteractionHandlers	register(java.lang.Class,java.lang.Class,ru.spbau.sd.model.framework.InteractionStrategy)	typeOfActor	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/FieldObject.java
PARAMETER	ru.spbau.sd.model.framework.InteractionStrategy	performInteraction(T,U)	actor	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urld499b6e5aa_HatlessFox_StPatrickSimulation_tgz-pJ8-ru_spbau_sd_MainJ8/src/ru/spbau/sd/model/framework/InteractionStrategy.java
