kind	class	method	param	index	uri
FIELD	hep.io.root.output.StreamerClassInfo	null	classDef	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/StreamerClassInfo.java
FIELD	hep.io.root.output.StreamerClassInfo	null	superClass	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/StreamerClassInfo.java
FIELD	hep.io.root.output.StreamerFieldInfo	null	counter	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/StreamerFieldInfo.java
PARAMETER	hep.io.root.output.StreamerFieldInfo	getMaxIndex(int)	i	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/StreamerFieldInfo.java
FIELD	hep.io.root.output.Type	null	types	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/Type.java
FIELD	hep.io.root.output.StreamerInfoException	null	fieldName	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/StreamerInfoException.java
PARAMETER	hep.io.root.output.RootOutput	writeObject(java.lang.Object)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/RootOutput.java
PARAMETER	hep.io.root.output.RootOutput	writeObjectRef(java.lang.Object)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/RootOutput.java
FIELD	hep.io.root.output.TFile	null	nameWarp	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/TFile.java
FIELD	hep.io.root.output.TDirectory	null	parent	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/TDirectory.java
PARAMETER	hep.io.root.output.RootOutputNonPublic	seek(long)	position	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/RootOutputNonPublic.java
PARAMETER	hep.io.root.output.classes.TSeqCollection	write(hep.io.root.output.RootOutput)	out	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/classes/TSeqCollection.java
FIELD	hep.io.root.output.classes.TUUID	null	uuid	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/classes/TUUID.java
FIELD	hep.io.root.output.classes.hist.TH1	null	fBuffer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/classes/hist/TH1.java
METHOD	hep.io.root.output.classes.hist.TH1	getfBuffer()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/classes/hist/TH1.java
METHOD	hep.io.root.output.RootBufferedOutputStream	getStreamerInfos()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/RootBufferedOutputStream.java
FIELD	hep.io.root.output.classes.TString	null	string	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8/src/hep/io/root/output/classes/TString.java
