kind	class	method	param	index	uri
METHOD	SMThemeParkExperi1	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/SMThemeParkExperi1.java
FIELD	SMThemeParkExperi3	null	cfLevels	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/SMThemeParkExperi3.java
METHOD	SMThemeParkExperi3	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/SMThemeParkExperi3.java
PARAMETER	SMThemeParkExperi3	computeLastCFLevel(double[])	levels	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/SMThemeParkExperi3.java
METHOD	SMThemeParkExperi3	computeLastCFLevel(double[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/SMThemeParkExperi3.java
FIELD	SMThemeParkExperi2	null	CONF_LEVEL	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/SMThemeParkExperi2.java
METHOD	SMThemeParkExperi2	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/SMThemeParkExperi2.java
FIELD	simModel.Seeds	null	arrFP	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/Seeds.java
FIELD	simModel.Seeds	null	arrSH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/Seeds.java
FIELD	simModel.Seeds	null	arrGI	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/Seeds.java
FIELD	simModel.Seeds	null	arrRC	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/Seeds.java
PARAMETER	simModel.Seeds	Seeds(cern.jet.random.engine.RandomSeedGenerator)	rsg	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/Seeds.java
FIELD	simModel.UDPs	null	model	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
PARAMETER	simModel.UDPs	UDPs(simModel.SMThemePark)	model	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
PARAMETER	simModel.UDPs	checkTrainArrived(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
METHOD	simModel.UDPs	checkTrainArrived(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
METHOD	simModel.UDPs	stationReadyForUnboarding()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
PARAMETER	simModel.UDPs	setOutputForStation(simModel.Stations)	stn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
METHOD	simModel.UDPs	setOutputForStation(simModel.Stations)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
PARAMETER	simModel.UDPs	boardAtStation(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
METHOD	simModel.UDPs	boardAtStation(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
PARAMETER	simModel.UDPs	getMaxNumberOfCustomers(java.lang.Integer)	train	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
METHOD	simModel.UDPs	getMaxNumberOfCustomers(java.lang.Integer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
PARAMETER	simModel.UDPs	getAvailableCapacity(java.lang.Integer)	train	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
METHOD	simModel.UDPs	getAvailableCapacity(java.lang.Integer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/UDPs.java
FIELD	simModel.SMThemePark	null	numberOfTrains	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	totalNumberOfCars	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	boardingOption	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	fixBoardingTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	rqTracks	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	gStations	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	rcgTrains	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	rvp	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	dvp	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	udp	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	output	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
FIELD	simModel.SMThemePark	null	closingTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8/src/simModel/SMThemePark.java
