kind	class	method	param	index	uri
FIELD	achievement.AchievementUnlockUnit	null	NO_MORE_UNLOCKABLES_MESSAGE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
FIELD	achievement.AchievementUnlockUnit	null	UNLOCK_UNIT_ACHIEVEMENT_BEGINNING_MESSAGE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
FIELD	achievement.AchievementUnlockUnit	null	unlockablesMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
FIELD	achievement.AchievementUnlockUnit	null	unlockLevels	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
FIELD	achievement.AchievementUnlockUnit	null	nextUnlockLevel	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
FIELD	achievement.AchievementUnlockUnit	null	myObserver	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
FIELD	achievement.AchievementUnlockUnit	null	instance	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
METHOD	achievement.AchievementUnlockUnit	getAchievement()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
PARAMETER	achievement.AchievementUnlockUnit	addUnlockableUnit(int,units.Unit)	unlockLevel	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
PARAMETER	achievement.AchievementUnlockUnit	addUnlockableUnit(int,units.Unit)	unlockable	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
METHOD	achievement.AchievementUnlockUnit	addUnlockableUnit(int,units.Unit)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
PARAMETER	achievement.AchievementUnlockUnit	notifyObserver(observers.GameObserver,achiever.Achiever)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
PARAMETER	achievement.AchievementUnlockUnit	notifyObserver(observers.GameObserver,achiever.Achiever)	achiever	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
METHOD	achievement.AchievementUnlockUnit	notifyObserver(observers.GameObserver,achiever.Achiever)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
METHOD	achievement.AchievementUnlockUnit	satisfiesConditions()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
METHOD	achievement.AchievementUnlockUnit	setNextUnlockable()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
PARAMETER	achievement.AchievementUnlockUnit	createAchievementMessage(achiever.Achiever)	achiever	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
METHOD	achievement.AchievementUnlockUnit	createAchievementMessage(achiever.Achiever)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/AchievementUnlockUnit.java
FIELD	achievement.Achievement	null	ACHIEVEMENT_TAG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
FIELD	achievement.Achievement	null	NO_ACHIEVEMENT_MESSAGE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
FIELD	achievement.Achievement	null	observable	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
FIELD	achievement.Achievement	null	observers	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
FIELD	achievement.Achievement	null	achievementMessage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	achievement.Achievement	notifyAchievement(achiever.Achiever,T)	achiever	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	notifyAchievement(achiever.Achiever,T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	handleObservable(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	satisfiesConditions()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	getObservable()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	achievement.Achievement	notifyObservers(achiever.Achiever)	achiever	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	notifyObservers(achiever.Achiever)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	achievement.Achievement	notifyObserver(observers.GameObserver,achiever.Achiever)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	achievement.Achievement	notifyObserver(observers.GameObserver,achiever.Achiever)	achiever	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	notifyObserver(observers.GameObserver,achiever.Achiever)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	achievement.Achievement	attachObserver(observers.GameObserver)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	attachObserver(observers.GameObserver)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	removeObserver(observers.GameObserver)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	achievement.Achievement	setAchievementMessage(java.lang.String)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	setAchievementMessage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	getAchievementMessage()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	achievement.Achievement	createAchievementMessage(achiever.Achiever)	achiever	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
METHOD	achievement.Achievement	createAchievementMessage(achiever.Achiever)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/achievement/Achievement.java
PARAMETER	attribute.AttributeLevel	AttributeLevel(achiever.Achiever)	achiever	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/attribute/AttributeLevel.java
PARAMETER	attribute.AttributeLevel	AttributeLevel(achiever.Achiever,int)	achiever	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/attribute/AttributeLevel.java
PARAMETER	attribute.AttributeLevel	AttributeLevel(achiever.Achiever,int)	lvl	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/attribute/AttributeLevel.java
METHOD	attribute.AttributeLevel	name()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/attribute/AttributeLevel.java
PARAMETER	attribute.AttributeLevel	augmentDataTemplate(java.lang.Integer)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/attribute/AttributeLevel.java
METHOD	attribute.AttributeLevel	augmentDataTemplate(java.lang.Integer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/attribute/AttributeLevel.java
METHOD	attribute.AttributeLevel	refresh()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/attribute/AttributeLevel.java
