kind	class	method	param	index	uri
FIELD	MEMWB	null	readData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	writeData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	writeInstr	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	readInstr	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	writeRegS	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	readRegS	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	writeRegD	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	readRegD	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	writeRegT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	readRegT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
FIELD	MEMWB	null	writeOffset	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url41e0dd6de9_jakaldama_pipeline_simulator_tgz-pJ8-PipelineSimulatorJ8/src/MEMWB.java
