kind	class	method	param	index	uri
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Polygon	null	_vertices	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Polygon.java
PARAMETER	com.hoten.delaunay.voronoi.nodename.as3delaunay.Polygon	Polygon(java.util.ArrayList)	vertices	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Polygon.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Polygon	area()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Polygon.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Polygon	winding()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Polygon.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Polygon	signedDoubleArea()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Polygon.java
PARAMETER	com.hoten.delaunay.geom.Point	distance(com.hoten.delaunay.geom.Point,com.hoten.delaunay.geom.Point)	_coord	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
PARAMETER	com.hoten.delaunay.geom.Point	distance(com.hoten.delaunay.geom.Point,com.hoten.delaunay.geom.Point)	_coord0	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
METHOD	com.hoten.delaunay.geom.Point	distance(com.hoten.delaunay.geom.Point,com.hoten.delaunay.geom.Point)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
PARAMETER	com.hoten.delaunay.geom.Point	Point(double,double)	x	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
PARAMETER	com.hoten.delaunay.geom.Point	Point(double,double)	y	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
METHOD	com.hoten.delaunay.geom.Point	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
METHOD	com.hoten.delaunay.geom.Point	l2()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
METHOD	com.hoten.delaunay.geom.Point	length()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/geom/Point.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Winding	null	CLOCKWISE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Winding.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Winding	null	COUNTERCLOCKWISE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Winding.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Winding	null	NONE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Winding.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Winding	null	_name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Winding.java
PARAMETER	com.hoten.delaunay.voronoi.nodename.as3delaunay.Winding	Winding(java.lang.String)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Winding.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Winding	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Winding.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	null	_edges	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	null	_edgeOrientations	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	get_edges()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	get_edgeOrientations()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
PARAMETER	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	EdgeReorderer(java.util.ArrayList,java.lang.Class)	origEdges	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
PARAMETER	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	EdgeReorderer(java.util.ArrayList,java.lang.Class)	criterion	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	dispose()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
PARAMETER	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	reorderEdges(java.util.ArrayList,java.lang.Class)	origEdges	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
PARAMETER	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	reorderEdges(java.util.ArrayList,java.lang.Class)	criterion	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
METHOD	com.hoten.delaunay.voronoi.nodename.as3delaunay.EdgeReorderer	reorderEdges(java.util.ArrayList,java.lang.Class)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/EdgeReorderer.java
FIELD	com.hoten.delaunay.voronoi.nodename.as3delaunay.Edge	null	_pool	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4c27590fbe_Hoten_Java_Delaunay_tgz-pJ8-com_hoten_delaunay_examples_TestDriverJ8/src/com/hoten/delaunay/voronoi/nodename/as3delaunay/Edge.java
