kind	class	method	param	index	uri
PARAMETER	patterns.gof.creational.abstractFactory.ProductA2	ProductA2(java.lang.String)	arg	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/ProductA2.java
METHOD	patterns.gof.creational.abstractFactory.ProductA2	operationA1()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/ProductA2.java
METHOD	patterns.gof.creational.abstractFactory.ProductA2	operationA2()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/ProductA2.java
METHOD	patterns.gof.creational.abstractFactory.AbstractProductA	operationA1()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/AbstractProductA.java
METHOD	patterns.gof.creational.abstractFactory.AbstractProductA	operationA2()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/AbstractProductA.java
METHOD	patterns.gof.creational.abstractFactory.ConcreteFactory2	createProductA()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/ConcreteFactory2.java
METHOD	patterns.gof.creational.abstractFactory.ConcreteFactory2	createProductB()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/ConcreteFactory2.java
METHOD	patterns.gof.creational.abstractFactory.AbstractFactory	createProductA()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/AbstractFactory.java
METHOD	patterns.gof.creational.abstractFactory.AbstractFactory	createProductB()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/AbstractFactory.java
METHOD	patterns.gof.creational.abstractFactory.AbstractProductB	operationB1()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/AbstractProductB.java
METHOD	patterns.gof.creational.abstractFactory.AbstractProductB	operationB2()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/creational/abstractFactory/AbstractProductB.java
