kind	class	method	param	index	uri
FIELD	m68k.memory.MemorySpace	null	buffer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
FIELD	m68k.memory.MemorySpace	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
PARAMETER	m68k.memory.MemorySpace	MemorySpace(int)	sizeKb	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
METHOD	m68k.memory.MemorySpace	reset()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
METHOD	m68k.memory.MemorySpace	getStartAddress()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
METHOD	m68k.memory.MemorySpace	getEndAddress()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
PARAMETER	m68k.memory.MemorySpace	readByte(int)	addr	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
METHOD	m68k.memory.MemorySpace	readByte(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
PARAMETER	m68k.memory.MemorySpace	readWord(int)	addr	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
METHOD	m68k.memory.MemorySpace	readWord(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8/src/m68k/memory/MemorySpace.java
