kind	class	method	param	index	uri
FIELD	org.msgpack.MessagePack	null	registry	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
PARAMETER	org.msgpack.MessagePack	MessagePack(org.msgpack.MessagePack)	msgpack	0	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
METHOD	org.msgpack.MessagePack	setClassLoader(java.lang.ClassLoader)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
PARAMETER	org.msgpack.MessagePack	createPacker(java.io.OutputStream)	out	0	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
METHOD	org.msgpack.MessagePack	createPacker(java.io.OutputStream)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
METHOD	org.msgpack.MessagePack	createBufferPacker()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
METHOD	org.msgpack.MessagePack	createBufferPacker(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
PARAMETER	org.msgpack.MessagePack	createUnpacker(java.io.InputStream)	in	0	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
METHOD	org.msgpack.MessagePack	createUnpacker(java.io.InputStream)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
METHOD	org.msgpack.MessagePack	createBufferUnpacker()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/MessagePack.java
