kind	class	method	param	index	uri
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int)	dataoffset	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int)	result	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int)	resultoffset	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int)	size	4	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
METHOD	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,int[],double[],int)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,int[],double[],int)	dataoffset	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,int[],double[],int)	dataselection	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,int[],double[],int)	result	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,int[],double[],int)	resultoffset	4	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
METHOD	de.jannlab.misc.DoubleTools	copy(double[],int,int[],double[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int[])	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int[])	dataoffset	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
PARAMETER	de.jannlab.misc.DoubleTools	copy(double[],int,double[],int,int[])	result	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/misc/DoubleTools.java
