kind	class	method	param	index	uri
FIELD	coursescheduleapp.CoursePrefTest	null	pref	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testSetCourseSelection()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testConstructor()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testGetEquivCourses()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testGetCourseSelection()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testRemoveCourseSelection()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testAddInstructorPref()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testRemoveInstructorPref()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testGetInstructorPref()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
METHOD	coursescheduleapp.CoursePrefTest	testGetAllCourses()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/CoursePrefTest.java
FIELD	coursescheduleapp.model.CoursePref	null	allCourses	null	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/model/CoursePref.java
PARAMETER	coursescheduleapp.model.CoursePref	CoursePref(int,int)	numEquivCourses	0	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/model/CoursePref.java
PARAMETER	coursescheduleapp.model.CoursePref	CoursePref(int,int)	numSelection	1	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/model/CoursePref.java
PARAMETER	coursescheduleapp.model.CoursePref	CoursePref(java.util.List)	allCourses	0	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/model/CoursePref.java
PARAMETER	coursescheduleapp.model.CoursePref	addEquivCourse(coursescheduleapp.model.EquivCourseSelection)	sel	0	/home/nima/Developer/NJR-ANNOTATED-RUN/njr/wpi/url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8/src/coursescheduleapp/model/CoursePref.java
