kind	class	method	param	index	uri
METHOD	be.fnord.util.logic.DefaultReasoner	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
FIELD	be.fnord.util.logic.DefaultReasoner	null	rules	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
FIELD	be.fnord.util.logic.DefaultReasoner	null	world	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
PARAMETER	be.fnord.util.logic.DefaultReasoner	DefaultReasoner(be.fnord.util.logic.defaultLogic.WorldSet,be.fnord.util.logic.defaultLogic.RuleSet)	myWorld	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
PARAMETER	be.fnord.util.logic.DefaultReasoner	DefaultReasoner(be.fnord.util.logic.defaultLogic.WorldSet,be.fnord.util.logic.defaultLogic.RuleSet)	myRules	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
PARAMETER	be.fnord.util.logic.DefaultReasoner	_DefaultReasoner(be.fnord.util.logic.defaultLogic.WorldSet,be.fnord.util.logic.defaultLogic.RuleSet)	_world	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
PARAMETER	be.fnord.util.logic.DefaultReasoner	_DefaultReasoner(be.fnord.util.logic.defaultLogic.WorldSet,be.fnord.util.logic.defaultLogic.RuleSet)	_rules	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
METHOD	be.fnord.util.logic.DefaultReasoner	_DefaultReasoner(be.fnord.util.logic.defaultLogic.WorldSet,be.fnord.util.logic.defaultLogic.RuleSet)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
METHOD	be.fnord.util.logic.DefaultReasoner	getPossibleScenarios()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/DefaultReasoner.java
FIELD	be.fnord.util.logic.defaultLogic.RuleSet	null	addedConsequence	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8/src/be/fnord/util/logic/defaultLogic/RuleSet.java
