kind	class	method	param	index	uri
PARAMETER	Demo.CheckRowNum	fixSqlWithRowNum(java.lang.String)	sSql	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/CheckRowNum.java
METHOD	Demo.CheckRowNum	fixSqlWithRowNum(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/CheckRowNum.java
METHOD	Demo.CheckRowNum	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/CheckRowNum.java
FIELD	Demo.CheckRowNum	null	invokedStandalone	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/CheckRowNum.java
METHOD	Demo.MDemo	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/MDemo.java
PARAMETER	Demo.MDemo	queryDB(org.sgbd.Mysgbd.MQuery)	q	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/MDemo.java
METHOD	Demo.MDemo	queryDB(org.sgbd.Mysgbd.MQuery)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/MDemo.java
PARAMETER	Demo.MDemo	DisplayTuple(org.sgbd.Mysgbd.data.MTuple,java.util.Vector)	tuple	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/MDemo.java
PARAMETER	Demo.MDemo	DisplayTuple(org.sgbd.Mysgbd.data.MTuple,java.util.Vector)	map	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/MDemo.java
METHOD	Demo.MDemo	DisplayTuple(org.sgbd.Mysgbd.data.MTuple,java.util.Vector)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7a69e77641_benmouh_MySgbd_tgz-pJ8-Demo_CheckRowNumJ8/src/Demo/MDemo.java
